player,team,gameInfo,game_abbr,salary,minutes,total,spread_home,game_date,points_Minutes,points_P/M,points_Possessions,points_Pts,points_FG2M,points_FG2A,points_2pt FG%,points_FG3M,points_FG3A,points_3pt FG%,points_Non-Heave 3pt FG%,points_FT Pts,points_AST2 Pts,points_UAST2 2s Pts,points_AST3 Pts,points_UAST3 Pts,points_2pt AST%,points_Non Putback 2pt AST%,points_3pt AST%,points_3PAr,points_Shot Quality,points_eFG%,points_TS%,points_PUT,points_FG2AB,points_% of FG2AB,points_FG3AB,points_% of FG3AB,points_Usage,assists_Minutes,assists_Assists,assists_Assist Pts,assists_2pt,assists_3pt,assists_At Rim,assists_SMR,assists_LMR,assists_C3,assists_AB3,rebounds_Minutes,rebounds_Reb,rebounds_DReb,rebounds_FT DReb,rebounds_FT DReb%,rebounds_2Pt DReb,rebounds_2Pt DReb%,rebounds_3Pt DReb,rebounds_3Pt DReb%,rebounds_FG DReb%,rebounds_OReb,rebounds_FT OReb,rebounds_FT OReb%,rebounds_2Pt OReb,rebounds_2Pt OReb%,rebounds_3Pt OReb,rebounds_3Pt OReb%,rebounds_FG OReb%,rebounds_Rim DReb%,rebounds_SMR DReb%,rebounds_LMR DReb%,rebounds_AB3 DReb%,rebounds_C3 DReb%,rebounds_Rim OReb%,rebounds_SMR OReb%,rebounds_LMR OReb%,rebounds_AB3 OReb%,rebounds_C3 OReb%,rebounds_Z-Bounds,rebounds_Z-Bound Pct,turnovers_Minutes,turnovers_TOs,turnovers_Live Ball TOs,turnovers_Dead Ball TOs,turnovers_Live Ball TO%,turnovers_Lost Ball,turnovers_Lost Ball Out of Bounds,turnovers_Bad Pass,turnovers_Bad Pass Out of Bounds,turnovers_Travels,turnovers_3 Second Violation,turnovers_Step Out of Bounds,turnovers_Offensive Goaltending,stocks_Minutes,stocks_Blocks,stocks_2pt Blocks,stocks_3pt Blocks,stocks_Rim Blocks,stocks_SMR Blocks,stocks_LMR Blocks,stocks_C3 Blocks,stocks_AB3 Blocks,stocks_BLK REC,stocks_BLK REC%,stocks_Steals,stocks_Lost Ball Steals,stocks_Bad Pass Steals,stocks_Goaltending Violations
Kevin Love,Utah Jazz,DAL @ UTAH,DAL @ UTA,4100.0,26.0,241.5,4.5,2026-01-09,203.0,-7.33,427.0,25.06,2.81,4.92,57.14,5.39,12.65,42.59,42.59,3.28,2.34,3.28,16.16,0.0,41.67,83.33,100.0,72.0,0.54,62.0,65.24,2.81,0.23,4.76,0.0,0.0,18.57,203.0,5.15,11.24,4.22,0.94,2.34,1.64,0.23,0.23,0.7,203.0,8.61,12.27,0.46,20.0,6.02,26.8,5.79,27.78,27.27,4.92,0.0,0.0,3.04,16.67,1.87,6.96,10.88,21.74,29.82,23.53,26.56,30.77,28.57,12.77,10.0,6.98,6.9,3.0,7.69,203.0,2.11,1.87,0.23,88.89,0.0,0.0,1.87,0.23,0.0,0.0,0.0,0.0,203.0,1.62,1.39,0.23,0.46,0.93,0.0,0.0,0.23,1.16,71.43,1.16,3.0,2.0,0.0
Klay Thompson,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3900.0,22.5,241.5,4.5,2026-01-09,361.0,-2.21,773.0,26.26,2.33,6.73,34.62,6.73,16.56,40.63,40.63,1.42,4.14,0.52,18.63,1.55,88.89,88.89,92.31,71.11,0.52,53.33,53.51,0.0,0.39,5.77,0.13,0.78,22.6,361.0,1.94,4.27,1.55,0.39,1.03,0.52,0.0,0.26,0.13,361.0,2.54,4.46,0.13,5.88,1.71,5.94,2.62,12.27,8.64,0.65,0.0,0.0,0.26,1.07,0.39,1.61,1.34,2.86,6.78,9.68,9.84,19.51,1.47,1.33,0.0,0.83,3.08,2.0,1.89,361.0,1.68,1.03,0.65,61.54,0.39,0.26,0.65,0.13,0.13,0.0,0.13,0.0,361.0,0.39,0.26,0.13,0.13,0.13,0.0,0.13,0.0,0.26,66.67,0.26,0.0,2.0,0.0
Anthony Davis,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,10900.0,35.0,241.5,4.5,2026-01-09,271.0,-2.77,562.0,34.52,12.46,24.2,51.47,1.25,3.2,38.89,38.89,5.87,15.66,9.25,3.2,0.53,62.86,80.0,85.71,11.69,0.52,52.27,55.14,5.34,1.07,4.41,0.0,0.0,30.38,271.0,4.8,11.03,3.38,1.42,1.96,0.89,0.53,0.71,0.71,271.0,9.1,13.42,1.07,75.0,6.8,24.52,5.55,25.2,24.82,4.8,0.0,0.0,4.09,14.65,0.71,4.26,10.76,23.64,27.63,16.67,27.08,18.52,20.37,11.11,12.5,1.69,8.57,4.0,5.71,271.0,3.02,2.85,0.18,94.12,1.42,0.0,1.42,0.0,0.0,0.0,0.0,0.0,271.0,2.86,2.86,0.0,1.79,1.07,0.0,0.0,0.0,1.79,62.5,1.61,4.0,5.0,0.18
Jusuf Nurkic,Utah Jazz,DAL @ UTAH,DAL @ UTA,6500.0,13.49,241.5,4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyle Anderson,Utah Jazz,DAL @ UTAH,DAL @ UTA,4400.0,8.51,241.5,4.5,2026-01-09,93.0,-18.81,197.0,15.23,5.08,10.15,50.0,0.0,0.0,0.0,0.0,5.08,4.06,6.09,0.0,0.0,40.0,50.0,0.0,0.0,0.52,50.0,57.69,2.03,0.51,5.0,0.0,0.0,15.21,93.0,6.09,14.72,3.55,2.54,3.05,0.51,0.0,1.02,1.52,93.0,3.98,5.37,0.0,0.0,1.46,7.32,3.9,15.38,11.83,2.54,0.0,0.0,1.52,6.0,1.02,4.76,5.43,6.67,10.0,0.0,16.28,11.11,14.29,3.7,0.0,6.67,0.0,0.0,0.0,93.0,3.55,1.52,2.03,42.86,0.51,0.0,1.02,0.0,0.0,0.0,1.02,0.0,93.0,1.95,1.95,0.0,0.98,0.49,0.49,0.0,0.0,1.46,75.0,3.9,5.0,3.0,0.0
Dwight Powell,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3700.0,3.9,241.5,4.5,2026-01-09,165.0,-1.71,350.0,9.14,2.57,4.29,60.0,0.0,0.0,0.0,0.0,4.0,5.14,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.61,60.0,66.67,0.0,0.29,6.67,0.0,0.0,8.01,165.0,4.29,10.29,2.57,1.71,0.57,1.14,0.86,0.0,1.71,165.0,4.68,5.92,0.0,0.0,4.79,19.54,1.13,6.25,13.91,3.43,0.0,0.0,1.71,7.14,1.71,9.38,8.11,14.71,24.32,18.75,5.88,7.69,10.0,5.13,6.67,5.0,16.67,0.0,0.0,165.0,2.0,1.43,0.57,71.43,1.14,0.0,0.29,0.29,0.0,0.0,0.0,0.0,165.0,1.13,1.13,0.0,0.56,0.56,0.0,0.0,0.0,0.56,50.0,1.97,3.0,4.0,0.0
D'Angelo Russell,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,3800.0,3.39,241.5,4.5,2026-01-09,216.0,-2.58,458.0,27.07,5.9,10.48,56.25,3.71,11.79,31.48,31.48,4.15,1.75,10.04,7.21,3.93,14.81,15.38,64.71,52.94,0.5,51.47,53.95,0.44,0.66,6.25,0.0,0.0,26.88,216.0,8.95,21.62,5.24,3.71,3.28,1.97,0.0,1.09,2.62,216.0,3.18,5.73,0.44,16.67,2.2,8.7,3.08,13.59,11.01,0.66,0.0,0.0,0.44,2.35,0.22,1.01,1.63,10.81,8.96,0.0,11.84,18.52,0.0,2.63,4.55,0.0,3.23,2.0,3.7,216.0,4.8,2.84,1.97,59.09,0.66,0.22,2.18,1.31,0.0,0.0,0.0,0.0,216.0,0.22,0.22,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,1.98,5.0,4.0,0.0
Georges Niang,Utah Jazz,DAL @ UTAH,DAL @ UTA,3500.0,0.0,241.5,4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lauri Markkanen,Utah Jazz,DAL @ UTAH,DAL @ UTA,8600.0,34.0,241.5,4.5,2026-01-09,311.0,0.85,657.0,37.44,9.74,15.98,60.95,2.89,9.74,29.69,29.69,9.28,14.61,4.87,7.76,0.91,75.0,81.36,89.47,37.87,0.52,54.73,61.17,1.52,0.76,4.76,0.15,1.56,27.49,311.0,3.2,8.68,0.91,2.28,0.3,0.61,0.0,0.76,1.52,311.0,4.33,6.21,0.91,37.5,2.58,11.81,2.73,10.59,11.15,2.44,0.0,0.0,1.52,8.0,0.91,3.9,5.73,17.02,9.72,8.0,12.5,4.76,14.29,7.04,0.0,4.1,3.13,5.0,6.41,311.0,1.52,0.76,0.76,50.0,0.3,0.3,0.46,0.15,0.0,0.0,0.0,0.15,311.0,0.3,0.3,0.0,0.15,0.15,0.0,0.0,0.0,0.3,100.0,1.06,2.0,5.0,0.0
Dennis Smith Jr.,Dallas Mavericks,DAL @ UTAH,DAL @ UTA,,1.7,241.5,4.5,2026-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
