Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Luke Kennard,183,6.08,15.87,2.38,3.7,1.32,1.06,0.0,0.53,3.17
Nickeil Alexander-Walker,99,6.22,15.79,2.87,3.35,2.87,0.0,0.0,0.96,2.39
Onyeka Okongwu,250,6.54,16.35,3.27,3.27,2.12,0.58,0.58,0.96,2.31
Vít Krejčí,194,3.53,8.56,2.02,1.51,1.51,0.5,0.0,0.5,1.01
Mouhamed Gueye,188,3.64,8.57,2.34,1.3,1.56,0.52,0.26,0.26,1.04
Asa Newell,92,1.03,2.58,0.52,0.52,0.0,0.52,0.0,0.0,0.52
Dyson Daniels,146,10.1,25.59,4.71,5.39,3.03,1.68,0.0,1.68,3.7
Zaccharie Risacher,64,3.7,8.15,2.96,0.74,1.48,1.48,0.0,0.74,0.0
Keaton Wallace,152,10.66,26.02,5.96,4.7,4.08,0.94,0.94,1.25,3.45
Caleb Houstan,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Toppin,8,7.14,21.43,0.0,7.14,0.0,0.0,0.0,0.0,7.14
N'Faly Dante,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
