Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Luke Kennard,183,-8.89,378,19.05,3.7,4.76,77.78%,2.91,8.2,35.48%,35.48%,2.91,4.76,2.65,8.73,0.0,64.29%,64.29%,100.00%,63.27%,0.54,62.24%,64.81%,0.0,0.53,11.11%,0.0,0.00%,14.32
Nickeil Alexander-Walker,99,-11.64,209,30.62,8.13,18.18,44.74%,2.39,11.48,20.83%,20.83%,7.18,7.66,8.61,5.74,1.44,47.06%,47.06%,80.00%,38.71%,0.56,39.52%,45.07%,0.0,1.91,10.53%,0.0,0.00%,34.32
Onyeka Okongwu,250,-8.51,520,17.69,5.19,10.58,49.09%,1.73,7.69,22.50%,22.50%,2.12,7.31,3.08,5.19,0.0,70.37%,73.08%,100.00%,42.11%,0.52,42.63%,45.54%,0.38,0.96,9.09%,0.0,0.00%,21.03
Vít Krejčí,194,-16.82,397,28.46,2.52,4.03,62.50%,7.05,16.12,43.75%,43.75%,2.27,4.03,1.01,21.16,0.0,80.00%,80.00%,100.00%,80.00%,0.55,65.00%,66.47%,0.0,0.25,6.25%,0.25,1.56%,21.33
Mouhamed Gueye,188,-4.6,385,17.66,5.19,7.53,68.97%,2.08,5.71,36.36%,36.36%,1.04,7.79,2.6,6.23,0.0,75.00%,88.24%,100.00%,43.14%,0.6,62.75%,62.96%,1.56,0.78,10.34%,0.0,0.00%,14.62
Asa Newell,92,-19.49,194,17.01,4.64,8.25,56.25%,1.55,5.15,30.00%,30.00%,3.09,4.12,5.15,4.64,0.0,44.44%,66.67%,100.00%,38.46%,0.62,51.92%,56.90%,3.09,2.06,25.00%,0.0,0.00%,15.14
Dyson Daniels,146,-1.66,297,20.54,8.75,16.5,53.06%,0.0,1.68,0.00%,0.00%,3.03,10.1,7.41,0.0,0.0,57.69%,65.22%,0.00%,9.26%,0.55,48.15%,51.69%,2.02,0.34,2.04%,0.0,0.00%,21.07
Zaccharie Risacher,64,-8.23,135,27.41,5.93,9.63,61.54%,4.44,8.89,50.00%,50.00%,2.22,8.89,2.96,13.33,0.0,75.00%,75.00%,100.00%,48.00%,0.57,68.00%,68.52%,0.0,0.74,7.69%,0.0,0.00%,21.23
Keaton Wallace,152,-8.78,319,19.44,2.51,5.96,42.11%,4.39,10.97,40.00%,40.00%,1.25,0.63,4.39,11.29,1.88,12.50%,12.50%,85.71%,64.81%,0.51,53.70%,53.45%,0.0,0.31,5.26%,0.31,2.86%,19.26
Caleb Houstan,19,14.15,38,28.95,2.63,2.63,100.00%,5.26,7.89,66.67%,66.67%,7.89,5.26,0.0,15.79,0.0,100.00%,100.00%,100.00%,75.00%,0.6,100.00%,110.00%,0.0,0.0,0.00%,0.0,0.00%,14.63
Jacob Toppin,8,78.57,14,28.57,14.29,21.43,66.67%,0.0,0.0,0.00%,0.00%,0.0,14.29,14.29,0.0,0.0,50.00%,100.00%,0.00%,0.00%,0.59,66.67%,66.67%,14.29,0.0,0.00%,0.0,0.00%,18.75
N'Faly Dante,5,78.79,9,11.11,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,11.11,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,0.0
