Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Luke Kennard,183,2.64,5.0,0.53,18.18%,2.11,9.30%,2.37,9.78%,9.55%,0.26,0.0,0.00%,0.0,0.00%,0.26,0.88%,0.56%,8.11%,4.65%,50.00%,11.84%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,1,4.55%
Nickeil Alexander-Walker,99,3.78,6.54,0.47,14.29%,2.8,10.71%,3.27,13.46%,12.04%,0.96,0.0,0.00%,0.48,2.38%,0.48,1.69%,1.98%,20.00%,6.25%,0.00%,12.20%,18.18%,0.00%,4.55%,0.00%,2.22%,0.00%,0,0.00%
Onyeka Okongwu,250,6.32,10.1,0.19,6.25%,5.33,22.05%,4.57,20.17%,21.14%,2.5,0.0,0.00%,1.15,5.83%,1.35,4.79%,5.22%,19.23%,23.44%,27.27%,14.89%,40.00%,2.63%,8.77%,0.00%,4.55%,5.56%,3,5.56%
Vít Krejčí,194,2.73,4.15,0.0,0.00%,1.71,6.86%,2.44,10.53%,8.63%,1.26,0.0,0.00%,0.76,3.90%,0.5,1.61%,2.49%,8.70%,6.38%,0.00%,9.21%,15.79%,8.00%,2.17%,0.00%,2.08%,0.00%,0,0.00%
Mouhamed Gueye,188,5.23,8.27,1.0,33.33%,3.01,13.19%,4.26,17.35%,15.34%,2.08,0.26,12.50%,0.52,2.74%,1.3,4.81%,3.95%,0.00%,23.40%,11.11%,17.07%,18.75%,0.00%,4.55%,0.00%,5.33%,3.45%,0,0.00%
Asa Newell,92,4.81,4.98,0.5,25.00%,3.98,16.67%,0.5,2.78%,10.71%,4.64,0.0,0.00%,1.55,7.50%,3.09,10.71%,9.38%,13.04%,19.05%,25.00%,4.00%,0.00%,15.38%,0.00%,25.00%,11.63%,7.69%,0,0.00%
Dyson Daniels,146,4.16,5.26,1.32,36.36%,2.96,12.86%,0.99,4.23%,8.51%,3.03,0.0,0.00%,2.36,10.00%,0.67,2.74%,6.29%,13.33%,13.89%,0.00%,5.26%,0.00%,5.00%,11.90%,12.50%,3.70%,0.00%,2,7.41%
Zaccharie Risacher,64,2.89,4.93,0.0,0.00%,0.7,3.13%,4.23,18.75%,10.94%,0.74,0.0,0.00%,0.0,0.00%,0.74,3.85%,1.75%,0.00%,0.00%,33.33%,24.00%,0.00%,0.00%,0.00%,0.00%,4.76%,0.00%,0,0.00%
Keaton Wallace,152,2.19,4.39,0.31,14.29%,2.19,10.45%,1.88,7.79%,9.03%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,14.81%,6.45%,11.11%,8.06%,6.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Caleb Houstan,19,2.41,2.22,0.0,0.00%,2.22,11.11%,0.0,0.00%,7.14%,2.63,0.0,0.00%,0.0,0.00%,2.63,10.00%,6.25%,25.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,33.33%,0,0.00%
Jacob Toppin,8,5.88,5.0,0.0,0.00%,0.0,0.00%,5.0,50.00%,16.67%,7.14,0.0,0.00%,7.14,50.00%,0.0,0.00%,20.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0,0.00%
N'Faly Dante,5,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
