Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Luke Kennard,535,0.09,0.09,0.0,0.0,0.0,0.09,0.0,0.0,0.09,100.00%,1.87,2,19,0.0
Nickeil Alexander-Walker,928,0.79,0.79,0.0,0.4,0.35,0.05,0.0,0.0,0.35,43.75%,1.39,11,17,0.0
Onyeka Okongwu,873,1.75,1.7,0.05,0.69,0.96,0.05,0.0,0.05,1.17,66.67%,1.75,16,17,0.0
Vít Krejčí,672,0.63,0.42,0.21,0.28,0.14,0.0,0.07,0.14,0.35,55.56%,1.68,6,18,0.07
Jalen Johnson,949,0.49,0.39,0.1,0.3,0.1,0.0,0.05,0.05,0.2,40.00%,1.97,6,34,0.0
Dyson Daniels,1000,0.75,0.75,0.0,0.52,0.23,0.0,0.0,0.0,0.42,56.25%,2.34,20,30,0.0
Mouhamed Gueye,405,1.99,1.99,0.0,1.52,0.47,0.0,0.0,0.0,1.29,64.71%,2.34,7,13,0.12
Asa Newell,183,1.21,1.21,0.0,0.49,0.73,0.0,0.0,0.0,0.97,80.00%,2.18,4,5,0.0
Kristaps Porziņģis,300,2.73,2.41,0.32,1.12,0.8,0.48,0.0,0.32,1.28,47.06%,0.8,1,4,0.0
Keaton Wallace,318,0.3,0.3,0.0,0.15,0.15,0.0,0.0,0.0,0.3,100.00%,2.09,2,12,0.0
Zaccharie Risacher,657,0.84,0.84,0.0,0.56,0.28,0.0,0.0,0.0,0.7,83.33%,1.47,3,18,0.07
Caleb Houstan,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Jacob Toppin,8,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,100.00%,0.0,0,0,0.0
N'Faly Dante,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,9.09,0,1,0.0
