Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Luke Kennard,535,2.06,1.43,0.63,69.57%,0.45,0.0,0.99,0.36,0.09,0.0,0.0,0.0
Nickeil Alexander-Walker,928,3.4,1.95,1.45,57.35%,0.7,0.35,1.25,0.5,0.15,0.0,0.15,0.0
Onyeka Okongwu,873,3.15,1.44,1.71,45.76%,0.75,0.27,0.69,0.32,0.32,0.0,0.11,0.0
Vít Krejčí,672,1.64,1.14,0.5,69.57%,0.36,0.0,0.79,0.14,0.14,0.0,0.0,0.0
Jalen Johnson,949,4.77,3.23,1.54,67.71%,0.89,0.1,2.34,0.7,0.4,0.0,0.0,0.0
Dyson Daniels,1000,3.14,2.28,0.86,72.73%,0.95,0.14,1.33,0.19,0.19,0.0,0.05,0.05
Mouhamed Gueye,405,1.93,0.97,0.97,50.00%,0.12,0.12,0.85,0.36,0.36,0.0,0.0,0.0
Asa Newell,183,2.01,1.0,1.0,50.00%,0.5,0.25,0.5,0.0,0.0,0.0,0.25,0.25
Kristaps Porziņģis,300,1.93,1.13,0.8,58.33%,0.48,0.0,0.64,0.16,0.16,0.0,0.0,0.0
Keaton Wallace,318,2.74,2.43,0.3,88.89%,1.22,0.0,1.22,0.15,0.15,0.0,0.0,0.0
Zaccharie Risacher,657,1.83,1.27,0.56,69.23%,0.42,0.07,0.84,0.0,0.07,0.0,0.07,0.0
Caleb Houstan,22,2.27,2.27,0.0,100.00%,2.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Toppin,8,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N'Faly Dante,5,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
