Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Terance Mann,160,6.39,15.97,3.19,3.19,2.24,0.32,0.64,0.64,2.56
Nic Claxton,206,5.87,14.43,3.18,2.69,1.22,1.22,0.73,0.24,2.44
Ziaire Williams,314,2.05,4.9,1.26,0.79,1.11,0.16,0.0,0.32,0.47
Cam Thomas,102,5.45,13.37,2.97,2.48,1.98,0.99,0.0,0.0,2.48
Tyrese Martin,272,5.97,14.55,3.36,2.61,1.49,1.31,0.56,1.31,1.31
Noah Clowney,285,3.21,8.2,1.43,1.78,0.71,0.53,0.18,0.36,1.43
Egor Dëmin,164,7.08,18.58,2.65,4.42,1.47,1.18,0.0,0.88,3.54
Ben Saraf,84,8.72,23.84,2.33,6.4,1.16,1.16,0.0,1.16,5.23
Jalen Wilson,163,1.54,4.32,0.31,1.23,0.31,0.0,0.0,0.62,0.62
Drake Powell,191,5.79,15.0,2.37,3.42,2.11,0.26,0.0,0.26,3.16
Danny Wolf,183,2.96,6.74,2.16,0.81,1.35,0.81,0.0,0.27,0.54
Day'Ron Sharpe,279,4.96,12.41,2.48,2.48,1.6,0.89,0.0,0.18,2.3
Nolan Traore,66,5.3,12.88,3.03,2.27,2.27,0.76,0.0,1.52,0.76
E.J. Liddell,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyson Etienne,9,6.67,20.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67
