Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Terance Mann,160,-12.51,313,15.02,4.47,8.95,50.00%,0.96,4.79,20.00%,20.00%,3.19,3.83,5.11,1.92,0.96,42.86%,46.15%,66.67%,34.88%,0.54,43.02%,48.96%,0.64,1.28,14.29%,0.0,0.00%,15.24
Nic Claxton,206,-17.81,409,19.8,7.58,12.22,62.00%,0.0,0.98,0.00%,0.00%,4.65,7.82,7.33,0.0,0.0,51.61%,66.67%,0.00%,7.41%,0.53,57.41%,59.56%,3.42,0.98,8.00%,0.0,0.00%,17.77
Ziaire Williams,314,-19.21,633,18.64,2.05,3.48,59.09%,3.32,11.06,30.00%,30.00%,4.58,2.53,1.58,9.48,0.47,61.54%,61.54%,95.24%,76.09%,0.57,48.37%,56.19%,0.0,0.16,4.55%,0.0,0.00%,16.67
Cam Thomas,102,-14.19,202,46.53,10.4,21.78,47.73%,4.46,11.88,37.50%,37.50%,12.38,6.93,13.86,5.94,7.43,33.33%,35.00%,44.44%,35.29%,0.49,50.74%,58.86%,0.99,1.49,6.82%,0.5,4.17%,37.55
Tyrese Martin,272,-19.88,536,22.39,4.48,9.33,48.00%,3.92,11.94,32.81%,32.81%,1.68,3.36,5.6,10.07,1.68,37.50%,39.13%,85.71%,56.14%,0.53,48.68%,50.85%,0.37,0.56,6.00%,0.19,1.56%,21.88
Noah Clowney,285,-14.35,561,27.63,3.03,5.35,56.67%,4.63,13.19,35.14%,35.14%,7.66,3.21,2.85,13.9,0.0,52.94%,56.25%,100.00%,71.15%,0.54,53.85%,60.08%,0.36,0.53,10.00%,0.53,4.05%,23.42
Egor Dëmin,164,-11.31,339,16.22,1.77,3.24,54.55%,3.54,12.68,27.91%,27.91%,2.06,2.36,1.18,7.96,2.65,66.67%,66.67%,75.00%,79.63%,0.53,44.44%,47.41%,0.0,0.59,18.18%,0.0,0.00%,16.87
Ben Saraf,84,11.38,172,25.0,5.81,8.72,66.67%,2.33,7.56,30.77%,30.77%,6.4,3.49,8.14,5.23,1.74,30.00%,33.33%,75.00%,46.43%,0.53,57.14%,63.24%,1.16,1.16,13.33%,0.0,0.00%,24.34
Jalen Wilson,163,-18.39,324,12.96,1.23,3.7,33.33%,2.47,11.11,22.22%,22.22%,3.09,1.85,0.62,7.41,0.0,75.00%,75.00%,100.00%,75.00%,0.52,33.33%,38.89%,0.0,0.62,16.67%,0.0,0.00%,15.26
Drake Powell,191,-1.96,380,16.05,3.68,7.11,51.85%,2.11,6.05,34.78%,34.78%,2.37,5.26,2.11,5.53,0.79,71.43%,71.43%,87.50%,46.00%,0.5,52.00%,56.48%,0.0,0.26,3.70%,0.26,4.35%,15.37
Danny Wolf,183,5.96,371,23.99,4.31,9.97,43.24%,3.77,9.16,41.18%,41.18%,4.04,4.85,3.77,10.51,0.81,56.25%,60.00%,92.86%,47.89%,0.54,52.11%,56.33%,0.54,0.81,8.11%,0.0,0.00%,22.38
Day'Ron Sharpe,279,-7.7,564,20.39,7.45,11.35,65.63%,0.53,2.48,21.43%,21.43%,3.9,8.51,6.38,1.6,0.0,57.14%,88.89%,100.00%,17.95%,0.56,59.62%,61.83%,5.32,1.24,10.94%,0.18,7.14%,19.01
Nolan Traore,66,-17.44,132,15.15,3.79,7.58,50.00%,2.27,5.3,42.86%,42.86%,0.76,6.06,1.52,6.82,0.0,80.00%,80.00%,100.00%,41.18%,0.51,55.88%,58.82%,0.0,1.52,20.00%,0.76,14.29%,13.91
E.J. Liddell,8,23.81,14,0.0,0.0,0.0,0.00%,0.0,14.29,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,100.00%,0.5,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,11.11
Tyson Etienne,9,64.85,15,60.0,0.0,6.67,0.00%,20.0,33.33,60.00%,60.00%,0.0,0.0,0.0,60.0,0.0,0.00%,0.00%,100.00%,83.33%,0.49,75.00%,75.00%,0.0,0.0,0.00%,0.0,0.00%,33.33
