Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Michael Porter Jr.,754,5.9,9.49,0.26,13.79%,4.38,18.21%,4.84,21.76%,19.92%,2.3,0.07,2.78%,1.45,6.69%,0.79,3.11%,4.76%,18.35%,19.16%,13.95%,23.57%,15.58%,7.41%,8.22%,2.67%,3.06%,3.26%,7,3.47%
Terance Mann,674,3.33,4.07,0.22,11.11%,1.82,7.69%,2.04,9.56%,8.58%,2.58,0.07,2.63%,1.11,5.02%,1.4,5.22%,5.13%,6.35%,10.00%,2.56%,7.24%,16.67%,3.96%,6.06%,4.55%,5.42%,4.60%,4,5.13%
Nic Claxton,786,6.69,8.78,0.75,40.00%,4.2,16.58%,3.83,17.63%,17.07%,4.57,0.06,2.38%,2.48,11.68%,2.03,7.48%,9.32%,9.26%,17.28%,37.25%,15.04%,26.25%,14.53%,11.18%,7.69%,7.95%,5.94%,7,8.54%
Ziaire Williams,505,2.34,3.47,0.29,12.50%,1.74,7.76%,1.45,6.52%,7.14%,1.18,0.0,0.00%,0.2,1.01%,0.99,3.60%,2.52%,9.76%,5.50%,9.76%,8.20%,0.00%,2.99%,0.00%,0.00%,4.33%,1.43%,0,0.00%
Cam Thomas,216,1.51,2.33,0.23,8.33%,0.7,3.30%,1.4,6.67%,4.97%,0.7,0.0,0.00%,0.46,1.96%,0.23,0.93%,1.43%,2.86%,2.63%,5.56%,2.94%,18.18%,3.13%,2.04%,0.00%,0.00%,3.70%,2,2.99%
Jalen Wilson,215,1.64,2.74,0.23,10.00%,1.6,8.33%,0.91,4.30%,6.21%,0.48,0.0,0.00%,0.0,0.00%,0.48,1.55%,0.90%,6.45%,12.82%,0.00%,4.11%,5.00%,0.00%,0.00%,0.00%,2.02%,0.00%,0,0.00%
Tyrese Martin,478,3.64,5.02,0.2,8.70%,2.36,10.65%,2.46,11.37%,11.01%,2.22,0.11,6.25%,1.16,5.12%,0.95,3.37%,4.15%,9.59%,12.73%,6.06%,10.76%,13.21%,4.29%,6.03%,3.45%,3.38%,3.33%,7,6.80%
Noah Clowney,834,3.38,5.12,0.18,8.57%,2.89,11.75%,2.06,9.89%,10.89%,1.61,0.12,4.17%,0.48,2.37%,1.02,3.85%,3.21%,7.74%,14.43%,14.55%,10.74%,7.14%,3.39%,1.30%,3.03%,3.55%,4.81%,4,2.61%
Egor Dëmin,684,3.09,5.29,0.21,12.50%,2.36,9.59%,2.72,13.67%,11.41%,0.87,0.0,0.00%,0.51,2.39%,0.36,1.27%,1.75%,9.86%,8.43%,13.89%,16.19%,5.88%,0.00%,2.96%,5.08%,1.65%,0.00%,3,2.11%
Drake Powell,320,2.03,3.54,0.15,9.09%,1.85,9.38%,1.54,6.80%,8.00%,0.48,0.0,0.00%,0.32,1.53%,0.16,0.63%,1.03%,9.09%,8.96%,11.76%,6.67%,7.41%,4.35%,0.00%,0.00%,0.81%,0.00%,0,0.00%
Nolan Traore,146,1.84,3.29,0.0,0.00%,1.97,7.41%,1.32,7.41%,7.41%,0.34,0.0,0.00%,0.34,1.49%,0.0,0.00%,0.68%,9.38%,8.57%,0.00%,6.52%,12.50%,4.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Danny Wolf,242,4.28,6.44,0.4,18.18%,3.22,12.90%,2.82,15.38%,13.95%,2.07,0.0,0.00%,0.62,2.63%,1.45,5.83%,4.27%,9.26%,14.00%,20.00%,15.49%,15.00%,5.00%,1.72%,0.00%,4.04%,14.29%,0,0.00%
Day'Ron Sharpe,412,8.2,10.32,0.47,21.05%,5.1,25.75%,4.74,22.47%,24.06%,6.05,0.12,4.35%,3.51,16.76%,2.42,9.17%,12.53%,20.63%,27.27%,33.33%,23.53%,19.05%,16.36%,19.78%,7.41%,9.20%,9.09%,1,3.03%
E.J. Liddell,8,3.33,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,7.69,0.0,0.00%,0.0,0.00%,7.69,20.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0,0.00%
Tyson Etienne,5,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
