Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Terance Mann,160,2.24,1.6,0.64,71.43%,0.64,0.32,0.96,0.0,0.32,0.0,0.0,0.0
Nic Claxton,206,3.67,1.96,1.71,53.33%,1.22,0.0,0.73,0.24,0.24,0.0,0.0,0.0
Ziaire Williams,314,2.53,1.11,1.42,43.75%,0.47,0.0,0.63,0.63,0.0,0.0,0.63,0.0
Cam Thomas,102,3.47,1.98,1.49,57.14%,0.5,0.5,1.49,0.0,0.5,0.0,0.0,0.0
Tyrese Martin,272,3.17,2.05,1.12,64.71%,1.31,0.19,0.75,0.37,0.37,0.0,0.0,0.0
Noah Clowney,285,4.1,2.67,1.43,65.22%,1.25,0.36,1.43,0.0,0.18,0.0,0.36,0.0
Egor Dëmin,164,2.95,2.95,0.0,100.00%,1.18,0.0,1.77,0.0,0.0,0.0,0.0,0.0
Ben Saraf,84,6.98,4.65,2.33,66.67%,2.33,0.58,2.33,1.16,0.0,0.0,0.0,0.0
Jalen Wilson,163,0.62,0.31,0.31,50.00%,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drake Powell,191,2.89,1.58,1.32,54.55%,0.53,0.0,1.05,0.26,0.0,0.0,0.79,0.0
Danny Wolf,183,4.04,2.7,1.35,66.67%,0.54,0.0,2.16,0.54,0.27,0.0,0.27,0.0
Day'Ron Sharpe,279,5.32,2.3,3.01,43.33%,0.71,0.53,1.6,0.71,0.18,0.0,0.0,0.0
Nolan Traore,66,3.03,3.03,0.0,100.00%,0.0,0.0,3.03,0.0,0.0,0.0,0.0,0.0
E.J. Liddell,8,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyson Etienne,9,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
