Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Jaylen Brown,952,7.3,18.58,3.31,3.99,2.07,0.98,0.26,0.72,3.26
Derrick White,974,7.57,18.26,4.45,3.12,3.02,0.92,0.51,1.18,1.94
Chris Boucher,73,2.11,5.63,0.7,1.41,0.0,0.7,0.0,0.0,1.41
Anfernee Simons,680,4.73,12.08,2.11,2.62,0.8,0.73,0.58,0.58,2.04
Neemias Queta,696,3.28,8.1,1.75,1.53,0.36,0.8,0.58,0.36,1.17
Payton Pritchard,965,7.84,19.36,4.15,3.69,2.15,1.18,0.82,0.67,3.02
Luka Garza,318,2.76,7.04,1.23,1.53,0.31,0.31,0.61,0.15,1.38
Sam Hauser,625,2.72,6.76,1.4,1.32,0.78,0.23,0.39,0.39,0.93
Jordan Walsh,472,2.47,6.45,0.97,1.51,0.43,0.32,0.22,0.32,1.18
Hugo González,343,2.18,5.95,0.58,1.6,0.44,0.15,0.0,0.44,1.16
Josh Minott,441,2.83,7.01,1.47,1.36,1.13,0.34,0.0,0.34,1.02
Baylor Scheierman,266,2.47,6.64,0.76,1.71,0.57,0.19,0.0,0.38,1.33
Xavier Tillman,91,2.26,6.21,0.56,1.69,0.0,0.0,0.56,0.0,1.69
Amari Williams,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
