Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Jaylen Brown,1048,7.46,2130,43.9,13.19,23.71,55.64%,2.96,8.08,36.63%,36.63%,8.64,8.08,18.31,4.23,4.65,30.60%,31.16%,47.62%,25.41%,0.49,55.47%,59.83%,0.47,1.46,6.14%,0.0,0.00%,36.19
Derrick White,1073,11.12,2153,27.82,4.51,9.43,47.78%,4.97,14.44,34.41%,34.41%,3.9,4.27,4.74,9.34,5.57,47.42%,49.46%,62.62%,60.51%,0.52,50.10%,54.36%,0.37,0.74,7.88%,0.14,0.96%,24.28
Chris Boucher,73,2.54,142,11.27,3.52,4.93,71.43%,0.7,7.04,10.00%,10.00%,2.11,5.63,1.41,2.11,0.0,80.00%,80.00%,100.00%,58.82%,0.56,38.24%,42.11%,0.0,0.0,0.00%,0.0,0.00%,12.27
Anfernee Simons,755,9.79,1521,28.6,4.73,9.4,50.35%,5.33,13.74,38.76%,38.76%,3.16,1.45,8.02,12.23,3.75,15.28%,15.71%,76.54%,59.38%,0.51,54.97%,58.06%,0.26,0.99,10.49%,0.0,0.00%,22.79
Neemias Queta,759,12.22,1503,20.43,8.85,13.44,65.84%,0.0,0.2,0.00%,0.00%,2.73,13.84,3.86,0.0,0.0,78.20%,98.11%,0.00%,1.46%,0.58,64.88%,65.32%,3.59,0.67,4.95%,0.0,0.00%,14.87
Payton Pritchard,1057,7.61,2136,24.72,5.2,8.8,59.04%,3.93,11.89,33.07%,33.07%,2.53,2.06,8.33,8.71,3.09,19.82%,20.95%,73.81%,57.47%,0.51,53.62%,56.09%,0.56,0.7,7.98%,0.14,1.18%,20.37
Luka Garza,383,8.42,777,22.39,5.53,8.49,65.15%,2.06,4.38,47.06%,47.06%,5.15,5.66,5.41,6.18,0.0,51.16%,88.00%,100.00%,34.00%,0.55,67.00%,70.73%,4.63,1.54,18.18%,0.0,0.00%,14.32
Sam Hauser,692,8.9,1422,16.95,0.7,1.69,41.67%,5.06,13.43,37.70%,37.70%,0.35,1.13,0.28,14.77,0.42,80.00%,100.00%,97.22%,88.84%,0.54,54.88%,55.28%,0.28,0.0,0.00%,0.07,0.52%,14.26
Jordan Walsh,517,10.48,1019,17.27,4.51,6.28,71.88%,1.96,4.42,44.44%,44.44%,2.36,5.1,3.93,5.89,0.0,56.52%,76.47%,100.00%,41.28%,0.61,69.72%,73.33%,2.36,0.69,10.94%,0.0,0.00%,11.49
Hugo González,378,21.14,758,13.06,3.43,5.67,60.47%,1.72,4.88,35.14%,35.14%,1.06,4.22,2.64,5.15,0.0,61.54%,76.19%,100.00%,46.25%,0.6,56.88%,56.90%,1.32,0.79,13.95%,0.0,0.00%,11.0
Josh Minott,441,4.07,884,17.19,2.83,5.32,53.19%,3.17,6.67,47.46%,47.46%,2.04,3.62,2.04,9.5,0.0,64.00%,80.00%,100.00%,55.66%,0.57,63.21%,64.96%,1.13,0.9,17.02%,0.0,0.00%,12.94
Baylor Scheierman,282,8.04,561,11.05,1.25,1.6,77.78%,2.85,7.31,39.02%,39.02%,0.0,2.5,0.0,8.56,0.0,100.00%,100.00%,100.00%,82.00%,0.54,62.00%,62.00%,0.0,0.18,11.11%,0.0,0.00%,9.29
Xavier Tillman,91,-12.23,177,15.25,5.08,7.34,69.23%,1.69,6.78,25.00%,25.00%,0.0,6.78,3.39,5.08,0.0,66.67%,85.71%,100.00%,48.00%,0.54,54.00%,54.00%,2.26,1.13,15.38%,0.0,0.00%,13.21
Amari Williams,22,-21.02,42,2.38,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,2.38,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,2.08
