Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Jaylen Brown,952,4.7,7.65,0.99,38.00%,2.97,12.26%,3.69,15.17%,13.72%,1.76,0.0,0.00%,0.93,4.41%,0.83,3.17%,3.72%,13.43%,11.11%,13.64%,16.57%,10.71%,6.60%,5.62%,0.81%,3.28%,2.56%,15,5.66%
Derrick White,974,3.18,5.34,0.36,14.00%,2.46,10.08%,2.51,10.06%,10.07%,1.02,0.05,2.22%,0.36,1.66%,0.61,2.25%,1.99%,8.94%,10.37%,10.84%,9.65%,11.40%,4.39%,0.53%,0.85%,2.18%,2.67%,0,0.00%
Chris Boucher,73,4.12,7.38,0.67,50.00%,1.34,5.56%,5.37,21.05%,13.51%,0.7,0.0,0.00%,0.0,0.00%,0.7,1.96%,1.28%,0.00%,0.00%,22.22%,22.22%,18.18%,0.00%,0.00%,0.00%,2.38%,0.00%,0,0.00%
Anfernee Simons,680,2.39,4.0,0.0,0.00%,1.85,7.96%,2.15,9.21%,8.59%,0.8,0.0,0.00%,0.36,1.78%,0.44,1.45%,1.58%,9.80%,8.39%,3.51%,8.02%,12.82%,2.56%,1.59%,1.30%,1.09%,4.08%,0,0.00%
Neemias Queta,696,8.05,9.96,0.44,17.65%,4.73,18.16%,4.8,19.76%,18.93%,6.13,0.07,3.23%,3.57,15.46%,2.48,9.24%,12.12%,12.90%,18.97%,22.86%,21.03%,15.85%,13.19%,18.75%,13.27%,10.22%,3.64%,9,16.07%
Payton Pritchard,965,3.34,5.21,0.1,4.08%,2.32,9.59%,2.78,11.18%,10.40%,1.49,0.0,0.00%,0.82,3.93%,0.67,2.41%,3.07%,9.22%,8.75%,12.50%,11.41%,10.38%,1.98%,3.70%,5.98%,2.40%,2.50%,4,1.95%
Luka Garza,318,6.76,5.24,0.0,0.00%,3.54,16.55%,1.69,6.75%,11.26%,8.27,0.0,0.00%,4.13,19.57%,4.13,12.62%,15.34%,19.05%,15.71%,14.81%,7.14%,5.41%,22.58%,23.61%,8.57%,12.15%,15.15%,3,11.54%
Sam Hauser,625,4.08,6.72,0.63,24.24%,3.32,15.11%,2.77,10.67%,12.71%,1.48,0.0,0.00%,0.39,2.00%,1.09,3.66%,3.00%,14.12%,16.08%,14.00%,9.80%,13.25%,1.69%,2.52%,1.39%,4.08%,0.00%,2,1.69%
Jordan Walsh,472,6.12,8.89,0.64,26.09%,3.53,13.52%,4.71,19.64%,16.45%,3.33,0.0,0.00%,1.51,7.37%,1.83,6.97%,7.14%,10.98%,13.93%,17.50%,20.61%,16.95%,7.55%,9.20%,4.00%,7.32%,5.13%,1,3.13%
Hugo González,343,5.46,7.97,0.14,5.88%,3.41,15.19%,4.41,16.58%,15.94%,2.9,0.0,0.00%,0.73,3.79%,2.18,7.35%,5.95%,15.69%,13.33%,18.75%,18.52%,11.54%,6.45%,4.23%,0.00%,7.95%,3.57%,0,0.00%
Josh Minott,441,5.71,7.35,0.23,9.52%,2.71,10.91%,4.41,17.33%,14.16%,4.07,0.34,15.79%,1.02,4.74%,2.71,9.34%,7.38%,7.69%,9.65%,19.51%,17.30%,17.50%,6.98%,3.19%,5.66%,9.72%,7.32%,1,2.22%
Baylor Scheierman,266,3.42,5.12,0.95,33.33%,2.28,8.96%,1.9,7.58%,8.27%,1.71,0.19,7.14%,0.38,1.82%,1.14,3.97%,3.07%,9.76%,7.89%,11.76%,7.92%,6.45%,4.00%,1.79%,0.00%,4.62%,0.00%,0,0.00%
Xavier Tillman,91,6.42,7.18,0.0,0.00%,3.87,20.00%,3.31,12.24%,15.48%,5.65,0.0,0.00%,1.69,11.54%,3.95,11.29%,11.36%,5.26%,30.00%,50.00%,11.11%,15.38%,0.00%,7.69%,28.57%,10.71%,16.67%,1,9.09%
Amari Williams,22,6.74,8.51,0.0,0.00%,2.13,7.14%,6.38,25.00%,15.38%,4.76,0.0,0.00%,2.38,7.69%,2.38,11.11%,9.09%,16.67%,0.00%,0.00%,30.00%,0.00%,0.00%,20.00%,0.00%,0.00%,100.00%,0,0.00%
