Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Jaylen Brown,952,0.68,0.62,0.05,0.26,0.36,0.0,0.05,0.0,0.31,46.15%,1.77,19,15,0.0
Derrick White,974,2.21,1.9,0.31,0.92,0.87,0.1,0.05,0.26,1.08,48.84%,2.0,18,21,0.05
Chris Boucher,73,3.36,1.34,2.01,1.34,0.0,0.0,1.34,0.67,0.0,0.00%,3.36,2,3,0.0
Anfernee Simons,680,0.3,0.3,0.0,0.15,0.15,0.0,0.0,0.0,0.15,50.00%,0.96,6,7,0.0
Neemias Queta,696,2.69,2.69,0.0,1.53,1.16,0.0,0.0,0.0,1.16,43.24%,1.6,6,16,0.0
Payton Pritchard,965,0.1,0.1,0.0,0.05,0.05,0.0,0.0,0.0,0.1,100.00%,1.29,9,16,0.0
Luka Garza,318,1.39,1.39,0.0,0.31,1.08,0.0,0.0,0.0,1.23,88.89%,0.92,3,3,0.0
Sam Hauser,625,0.79,0.63,0.16,0.4,0.16,0.08,0.0,0.16,0.4,50.00%,1.19,5,10,0.0
Jordan Walsh,472,1.39,1.18,0.21,0.54,0.64,0.0,0.0,0.21,0.96,69.23%,3.1,20,9,0.0
Hugo González,343,0.85,0.71,0.14,0.43,0.14,0.14,0.14,0.0,0.43,50.00%,2.7,8,11,0.0
Josh Minott,441,1.02,0.9,0.11,0.34,0.57,0.0,0.0,0.11,0.79,77.78%,2.38,9,12,0.0
Baylor Scheierman,266,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.19,0.0,0.00%,0.95,2,3,0.0
Xavier Tillman,91,1.1,1.1,0.0,0.55,0.0,0.55,0.0,0.0,1.1,100.00%,3.31,0,6,0.0
Amari Williams,22,4.26,4.26,0.0,0.0,4.26,0.0,0.0,0.0,4.26,100.00%,0.0,0,0,2.13
