Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Jaylen Brown,1048,5.35,2.49,2.86,46.49%,1.41,0.61,1.08,0.52,0.47,0.0,0.05,0.0
Derrick White,1073,2.65,1.58,1.07,59.65%,0.56,0.14,1.02,0.51,0.09,0.0,0.05,0.0
Chris Boucher,73,0.7,0.0,0.7,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anfernee Simons,755,2.1,1.38,0.72,65.63%,0.59,0.0,0.79,0.26,0.07,0.0,0.07,0.0
Neemias Queta,759,1.66,0.27,1.4,16.00%,0.2,0.07,0.07,0.33,0.07,0.0,0.0,0.07
Payton Pritchard,1057,1.78,0.7,1.08,39.47%,0.23,0.23,0.47,0.23,0.23,0.0,0.0,0.0
Luka Garza,383,1.29,0.13,1.16,10.00%,0.0,0.13,0.13,0.0,0.0,0.0,0.13,0.13
Sam Hauser,692,1.13,0.56,0.56,50.00%,0.28,0.21,0.28,0.07,0.07,0.0,0.0,0.0
Jordan Walsh,517,1.67,0.88,0.79,52.94%,0.39,0.1,0.49,0.29,0.0,0.0,0.2,0.0
Hugo González,378,1.58,0.66,0.92,41.67%,0.26,0.13,0.4,0.13,0.4,0.0,0.0,0.0
Josh Minott,441,1.81,1.24,0.57,68.75%,0.57,0.11,0.68,0.0,0.11,0.0,0.0,0.0
Baylor Scheierman,282,1.78,0.89,0.89,50.00%,0.18,0.0,0.71,0.36,0.0,0.0,0.18,0.0
Xavier Tillman,91,1.69,1.13,0.56,66.67%,0.0,0.56,1.13,0.0,0.0,0.0,0.0,0.0
Amari Williams,22,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
