Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Pat Connaughton,38,2.63,6.58,1.32,1.32,1.32,0.0,0.0,0.0,1.32
Miles Bridges,166,6.06,15.76,2.42,3.64,1.21,0.91,0.3,1.52,2.12
Collin Sexton,137,6.72,16.79,3.36,3.36,2.24,0.75,0.37,0.75,2.61
Tre Mann,136,4.78,13.24,1.1,3.68,0.74,0.37,0.0,0.74,2.94
Moussa Diabaté,258,3.53,9.22,1.37,2.16,0.39,0.59,0.39,0.2,1.96
KJ Simpson,67,7.46,18.66,3.73,3.73,1.49,2.24,0.0,2.99,0.75
Liam McNeeley,108,3.77,9.91,1.42,2.36,0.94,0.47,0.0,0.94,1.42
LaMelo Ball,87,9.6,23.16,5.65,3.95,3.95,1.69,0.0,1.69,2.26
Mason Plumlee,37,6.58,17.11,2.63,3.95,2.63,0.0,0.0,1.32,2.63
Antonio Reeves,33,1.64,4.92,0.0,1.64,0.0,0.0,0.0,0.0,1.64
Tidjane Salaün,115,2.16,6.06,0.43,1.73,0.43,0.0,0.0,0.43,1.3
PJ Hall,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sion James,184,4.08,11.14,1.09,2.99,1.09,0.0,0.0,1.09,1.9
Drew Peterson,20,2.7,8.11,0.0,2.7,0.0,0.0,0.0,2.7,0.0
Brandon Miller,110,4.91,11.61,3.13,1.79,2.23,0.89,0.0,0.0,1.79
Josh Green,51,4.0,8.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0
