Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Pat Connaughton,58,11.76,118,16.95,3.39,5.08,66.67%,2.54,8.47,30.00%,30.00%,2.54,5.08,1.69,7.63,0.0,75.00%,75.00%,100.00%,62.50%,0.57,53.13%,55.56%,0.0,0.0,0.00%,0.0,0.00%,12.58
Miles Bridges,677,1.45,1353,29.49,7.02,13.08,53.67%,3.47,10.57,32.87%,32.87%,5.03,7.69,6.36,9.76,0.67,54.74%,56.52%,93.62%,44.69%,0.54,51.72%,56.20%,0.44,0.52,3.95%,0.07,0.70%,24.29
Collin Sexton,414,4.77,831,32.01,7.7,15.04,51.20%,2.89,6.62,43.64%,43.64%,7.94,5.78,9.63,7.22,1.44,37.50%,40.68%,83.33%,30.56%,0.54,55.56%,62.50%,1.2,2.05,13.60%,0.0,0.00%,25.28
Tre Mann,254,-3.35,513,21.83,5.07,12.28,41.27%,3.7,11.5,32.20%,32.20%,0.58,2.34,7.8,7.6,3.51,23.08%,23.08%,68.42%,48.36%,0.52,44.67%,45.16%,0.0,0.58,4.76%,0.0,0.00%,23.91
Moussa Diabaté,752,2.79,1510,16.42,6.16,9.87,62.42%,0.0,0.0,0.00%,0.00%,4.11,8.08,4.24,0.0,0.0,65.59%,85.92%,0.00%,0.00%,0.61,62.42%,64.25%,2.91,0.6,6.04%,0.0,0.00%,11.96
Kon Knueppel,630,4.49,1282,29.25,4.37,8.89,49.12%,5.38,12.79,42.07%,42.07%,4.37,4.68,4.06,14.74,1.4,53.57%,55.56%,91.30%,58.99%,0.54,57.37%,60.95%,0.31,1.17,13.16%,0.08,0.61%,23.39
LaMelo Ball,436,5.97,894,37.7,6.71,14.88,45.11%,6.49,15.32,42.34%,42.34%,4.81,1.57,11.86,13.76,5.7,11.67%,12.96%,70.69%,50.74%,0.51,54.44%,57.76%,1.34,1.12,7.52%,0.0,0.00%,32.01
KJ Simpson,126,-11.05,251,18.73,3.98,11.95,33.33%,2.79,7.97,35.00%,35.00%,2.39,1.59,6.37,8.37,0.0,20.00%,22.22%,100.00%,40.00%,0.54,41.00%,42.73%,0.8,1.2,10.00%,0.0,0.00%,22.0
Liam McNeeley,219,5.25,426,17.84,1.88,3.05,61.54%,3.29,8.92,36.84%,36.84%,4.23,1.88,1.88,9.15,0.7,50.00%,57.14%,92.86%,74.51%,0.54,56.86%,61.29%,0.47,0.47,15.38%,0.0,0.00%,13.75
Mason Plumlee,108,8.9,215,10.7,3.72,5.12,72.73%,0.0,0.0,0.00%,0.00%,3.26,6.51,0.93,0.0,0.0,87.50%,100.00%,0.00%,0.00%,0.69,72.73%,76.67%,0.93,0.47,9.09%,0.0,0.00%,8.59
Antonio Reeves,39,44.71,74,25.68,2.7,5.41,50.00%,6.76,12.16,55.56%,55.56%,0.0,2.7,2.7,20.27,0.0,50.00%,50.00%,100.00%,69.23%,0.56,73.08%,73.08%,0.0,1.35,25.00%,0.0,0.00%,14.61
Brandon Miller,393,7.27,804,34.45,6.97,14.68,47.46%,4.98,12.81,38.83%,38.83%,5.6,5.97,7.96,12.69,2.24,42.86%,44.44%,85.00%,46.61%,0.5,52.49%,57.23%,0.5,0.62,4.24%,0.0,0.00%,29.18
Tidjane Salaün,287,6.52,580,18.62,3.97,6.55,60.53%,2.93,6.55,44.74%,44.74%,1.9,6.55,1.38,8.79,0.0,82.61%,90.48%,100.00%,50.00%,0.58,63.82%,64.29%,0.69,0.69,10.53%,0.0,0.00%,14.14
PJ Hall,106,-1.97,221,21.72,7.24,13.12,55.17%,0.9,0.9,100.00%,100.00%,4.52,10.86,3.62,2.71,0.0,75.00%,85.71%,100.00%,6.45%,0.6,61.29%,63.16%,1.81,1.81,13.79%,0.0,0.00%,17.86
Sion James,579,1.02,1153,11.71,1.56,3.56,43.90%,1.91,5.64,33.85%,33.85%,2.86,2.08,1.04,5.46,0.26,66.67%,75.00%,95.45%,61.32%,0.58,48.11%,54.44%,0.35,0.61,17.07%,0.26,4.62%,10.48
Drew Peterson,46,-15.22,86,4.65,2.33,3.49,66.67%,0.0,9.3,0.00%,0.00%,0.0,2.33,2.33,0.0,0.0,50.00%,50.00%,0.00%,72.73%,0.59,18.18%,18.18%,0.0,0.0,0.00%,0.0,0.00%,10.58
Josh Green,175,-0.75,354,14.41,1.13,1.98,57.14%,3.95,10.17,38.89%,38.89%,0.28,1.69,0.56,11.86,0.0,75.00%,75.00%,100.00%,83.72%,0.57,58.14%,57.95%,0.0,0.0,0.00%,0.0,0.00%,11.53
