Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Pat Connaughton,58,2.98,3.42,0.0,0.00%,3.42,14.29%,0.0,0.00%,7.84%,2.54,0.0,0.00%,0.85,2.70%,1.69,6.67%,4.48%,23.08%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,14.29%,9.52%,0.00%,0,0.00%
Miles Bridges,677,4.79,8.39,0.72,26.32%,3.33,13.90%,4.34,19.80%,16.72%,1.11,0.07,3.85%,0.44,1.85%,0.59,2.24%,2.06%,16.30%,12.75%,10.64%,19.75%,20.00%,2.31%,1.91%,0.00%,1.88%,3.30%,3,1.79%
Collin Sexton,414,2.09,2.73,0.48,15.38%,0.95,4.02%,1.31,5.67%,4.83%,1.44,0.0,0.00%,0.72,3.23%,0.72,3.08%,3.15%,5.56%,3.19%,3.03%,5.92%,4.76%,4.35%,3.30%,0.00%,2.67%,4.44%,2,2.70%
Tre Mann,254,3.88,5.61,0.19,10.00%,3.87,16.53%,1.55,7.62%,12.39%,2.14,0.0,0.00%,1.36,5.74%,0.78,2.96%,4.28%,12.50%,19.23%,19.05%,9.09%,0.00%,5.36%,5.36%,10.00%,2.06%,5.26%,4,5.63%
Moussa Diabaté,752,8.6,9.31,0.65,27.03%,4.82,20.56%,3.84,18.21%,19.44%,7.88,0.07,3.33%,4.97,20.72%,2.85,11.59%,16.10%,15.13%,23.45%,26.98%,18.70%,16.13%,25.64%,15.88%,22.22%,10.95%,13.64%,10,23.26%
Kon Knueppel,630,3.55,5.28,0.46,16.67%,2.45,10.77%,2.37,11.11%,10.94%,1.79,0.08,3.85%,0.55,2.51%,1.17,4.46%,3.58%,10.28%,11.64%,9.09%,10.22%,14.81%,1.75%,2.31%,5.71%,3.54%,7.32%,4,2.96%
LaMelo Ball,436,4.1,6.21,0.11,4.35%,2.37,9.91%,3.72,16.92%,13.27%,2.01,0.0,0.00%,1.45,6.19%,0.56,2.17%,4.09%,4.17%,11.25%,22.22%,18.18%,12.20%,3.90%,8.74%,3.33%,2.17%,2.17%,8,5.80%
KJ Simpson,126,2.98,4.76,0.0,0.00%,2.38,12.24%,2.38,12.00%,12.12%,1.2,0.0,0.00%,0.0,0.00%,1.2,4.62%,2.52%,10.53%,15.79%,9.09%,14.63%,0.00%,0.00%,0.00%,0.00%,4.44%,5.00%,1,3.33%
Liam McNeeley,219,4.53,7.59,0.69,33.33%,2.99,13.68%,3.91,16.19%,15.00%,1.41,0.23,11.11%,0.0,0.00%,1.17,4.39%,2.27%,10.81%,14.29%,18.75%,14.81%,20.83%,0.00%,0.00%,0.00%,4.40%,4.35%,1,3.70%
Mason Plumlee,108,6.82,10.22,1.33,27.27%,5.78,31.71%,3.11,15.91%,23.53%,3.26,0.47,50.00%,0.93,5.13%,1.86,6.45%,5.94%,18.18%,45.45%,12.50%,11.11%,37.50%,7.69%,5.00%,0.00%,6.67%,5.88%,1,50.00%
