Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Pat Connaughton,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.42,1,3,0.0
Miles Bridges,677,1.08,0.87,0.22,0.58,0.29,0.0,0.07,0.14,0.8,73.33%,0.58,3,5,0.22
Collin Sexton,414,0.24,0.24,0.0,0.0,0.12,0.12,0.0,0.0,0.12,50.00%,1.9,11,5,0.0
Tre Mann,254,0.39,0.39,0.0,0.19,0.19,0.0,0.0,0.0,0.39,100.00%,1.55,4,4,0.0
Moussa Diabaté,752,1.89,1.89,0.0,1.3,0.59,0.0,0.0,0.0,1.17,62.07%,1.76,6,21,0.2
Kon Knueppel,630,0.38,0.38,0.0,0.23,0.15,0.0,0.0,0.0,0.38,100.00%,0.69,4,5,0.08
LaMelo Ball,436,0.11,0.11,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.00%,1.81,7,9,0.0
KJ Simpson,126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.17,3,5,0.0
Liam McNeeley,219,0.46,0.46,0.0,0.23,0.23,0.0,0.0,0.0,0.23,50.00%,0.92,0,4,0.0
Mason Plumlee,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.78,3,1,0.0
Antonio Reeves,39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.39,0,1,0.0
Brandon Miller,393,1.35,1.35,0.0,0.86,0.49,0.0,0.0,0.0,0.49,36.36%,1.1,2,7,0.25
Tidjane Salaün,287,0.67,0.67,0.0,0.17,0.34,0.17,0.0,0.0,0.67,100.00%,1.35,4,4,0.0
PJ Hall,106,3.2,3.2,0.0,1.37,1.83,0.0,0.0,0.0,0.46,14.29%,0.46,0,1,0.0
Sion James,579,0.66,0.66,0.0,0.41,0.25,0.0,0.0,0.0,0.41,62.50%,1.49,11,7,0.0
Drew Peterson,46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.26,2,1,0.0
Josh Green,175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.0,3,4,0.0
