Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Pat Connaughton,58,0.85,0.85,0.0,100.00%,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0
Miles Bridges,677,2.37,1.33,1.03,56.25%,0.22,0.07,1.11,0.52,0.07,0.0,0.0,0.0
Collin Sexton,414,4.33,2.65,1.68,61.11%,1.44,0.12,1.2,0.36,0.36,0.0,0.0,0.0
Tre Mann,254,4.68,2.92,1.75,62.50%,1.36,0.19,1.56,0.39,0.19,0.0,0.39,0.0
Moussa Diabaté,752,1.72,0.53,1.19,30.77%,0.13,0.07,0.4,0.07,0.33,0.0,0.07,0.0
Kon Knueppel,630,3.59,2.26,1.33,63.04%,1.17,0.31,1.09,0.39,0.23,0.0,0.16,0.0
LaMelo Ball,436,5.37,3.36,2.01,62.50%,0.78,0.22,2.57,0.45,0.22,0.0,0.34,0.0
KJ Simpson,126,4.38,2.79,1.59,63.64%,0.4,0.4,2.39,0.4,0.0,0.0,0.0,0.0
Liam McNeeley,219,1.88,1.17,0.7,62.50%,0.0,0.47,1.17,0.0,0.0,0.0,0.0,0.0
Mason Plumlee,108,3.26,1.4,1.86,42.86%,0.0,0.0,1.4,0.93,0.0,0.0,0.0,0.0
Antonio Reeves,39,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Miller,393,4.23,2.49,1.74,58.82%,1.12,0.25,1.37,0.5,0.0,0.0,0.0,0.12
Tidjane Salaün,287,2.24,0.86,1.38,38.46%,0.34,0.0,0.52,0.52,0.0,0.0,0.17,0.0
PJ Hall,106,3.17,1.36,1.81,42.86%,0.45,0.0,0.9,0.9,0.0,0.0,0.0,0.0
Sion James,579,1.47,0.61,0.87,41.18%,0.26,0.09,0.35,0.17,0.26,0.0,0.09,0.0
Drew Peterson,46,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Green,175,1.41,0.85,0.56,60.00%,0.28,0.28,0.56,0.28,0.0,0.0,0.0,0.0
