Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Jevon Carter,79,5.56,14.81,1.85,3.7,1.85,0.0,0.0,0.62,3.09
Kevin Huerter,196,5.69,12.8,4.27,1.42,2.84,1.42,0.0,0.24,1.18
Isaac Okoro,116,4.13,9.5,2.89,1.24,2.07,0.83,0.0,1.24,0.0
Jalen Smith,159,3.82,9.12,2.35,1.47,2.06,0.29,0.0,0.59,0.88
Ayo Dosunmu,245,6.31,16.25,2.68,3.63,0.96,1.15,0.57,1.15,2.49
Tre Jones,246,10.0,23.96,6.04,3.96,4.53,1.32,0.19,1.51,2.45
Nikola Vučević,160,5.9,14.45,3.24,2.65,2.65,0.29,0.29,0.88,1.77
Patrick Williams,196,3.07,7.33,1.89,1.18,1.42,0.47,0.0,0.71,0.47
Lachlan Olbrich,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matas Buzelis,162,2.62,6.69,1.16,1.45,1.16,0.0,0.0,0.58,0.87
Noa Essengue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalen Terry,58,6.67,16.67,3.33,3.33,1.67,0.83,0.83,0.83,2.5
Julian Phillips,71,1.37,4.11,0.0,1.37,0.0,0.0,0.0,0.0,1.37
Emanuel Miller,14,7.14,14.29,7.14,0.0,3.57,0.0,3.57,0.0,0.0
Trentyn Flowers,1,50.0,100.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0
