Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Zach Collins,42,6.95,93,20.43,5.38,10.75,50.00%,2.15,4.3,50.00%,50.00%,3.23,8.6,2.15,6.45,0.0,80.00%,100.00%,100.00%,28.57%,0.6,57.14%,59.38%,2.15,1.08,10.00%,0.0,0.00%,18.18
Jevon Carter,82,-27.83,158,17.72,1.27,3.8,33.33%,5.06,12.66,40.00%,40.00%,0.0,2.53,0.0,13.29,1.9,100.00%,100.00%,87.50%,76.92%,0.53,53.85%,53.85%,0.0,0.63,16.67%,0.0,0.00%,18.54
Coby White,99,-9.82,199,31.66,7.54,13.57,55.56%,3.02,11.56,26.09%,26.09%,7.54,2.01,13.07,7.54,1.51,13.33%,13.33%,83.33%,46.00%,0.53,48.00%,53.39%,0.0,1.01,7.41%,0.0,0.00%,33.03
Patrick Williams,206,-22.49,436,17.43,2.98,7.8,38.24%,3.44,8.49,40.54%,40.54%,1.15,3.21,2.75,8.26,2.06,53.85%,58.33%,80.00%,52.11%,0.53,50.00%,50.67%,0.46,0.92,11.76%,0.0,0.00%,17.81
Dalen Terry,85,-8.62,177,15.82,3.95,7.34,53.85%,2.26,4.52,50.00%,50.00%,1.13,5.65,2.26,6.78,0.0,71.43%,71.43%,100.00%,38.10%,0.62,61.90%,63.64%,0.0,1.13,15.38%,0.0,0.00%,13.24
Matas Buzelis,250,-14.3,510,24.71,6.08,10.39,58.49%,2.75,8.43,32.56%,32.56%,4.31,6.67,5.49,7.65,0.59,54.84%,56.67%,92.86%,44.79%,0.58,54.17%,57.80%,0.39,1.37,13.21%,0.0,0.00%,22.61
Ayo Dosunmu,251,-21.54,520,26.35,5.96,10.38,57.41%,3.65,8.65,42.22%,42.22%,3.46,5.77,6.15,10.38,0.58,48.39%,48.39%,94.74%,45.45%,0.6,60.10%,63.43%,0.0,1.54,14.81%,0.0,0.00%,20.17
Julian Phillips,102,-16.2,205,15.61,2.93,4.39,66.67%,2.44,8.78,27.78%,27.78%,2.44,4.88,0.98,7.32,0.0,83.33%,100.00%,100.00%,66.67%,0.58,50.00%,53.33%,0.98,0.0,0.00%,0.0,0.00%,14.73
Kevin Huerter,235,-12.46,486,19.96,7.2,10.7,67.31%,1.23,10.08,12.24%,12.24%,1.85,8.23,6.17,3.7,0.0,57.14%,62.50%,100.00%,48.51%,0.57,43.56%,46.19%,1.23,1.23,11.54%,0.0,0.00%,22.18
Isaac Okoro,193,-16.47,396,14.39,3.03,4.8,63.16%,1.77,6.31,28.00%,28.00%,3.03,4.04,2.02,4.55,0.76,66.67%,72.73%,85.71%,56.82%,0.61,51.14%,57.00%,0.51,0.25,5.26%,0.0,0.00%,12.61
Tre Jones,268,-7.16,561,20.68,7.31,12.12,60.29%,0.0,2.14,0.00%,0.00%,6.06,6.77,7.84,0.0,0.0,46.34%,46.34%,0.00%,15.00%,0.56,51.25%,58.59%,0.0,1.07,8.82%,0.0,0.00%,17.99
Nikola Vučević,316,-14.8,652,25.0,7.06,14.57,48.42%,2.91,7.06,41.30%,41.30%,2.15,11.04,3.07,8.28,0.46,78.26%,83.72%,94.74%,32.62%,0.5,52.84%,53.97%,0.92,0.77,5.26%,0.0,0.00%,23.5
Lachlan Olbrich,42,-16.63,78,2.56,1.28,3.85,33.33%,0.0,1.28,0.00%,0.00%,0.0,2.56,0.0,0.0,0.0,100.00%,100.00%,0.00%,25.00%,0.55,25.00%,20.00%,0.0,1.28,33.33%,0.0,0.00%,7.69
Emanuel Miller,15,-47.48,32,18.75,9.38,12.5,75.00%,0.0,6.25,0.00%,0.00%,0.0,18.75,0.0,0.0,0.0,100.00%,100.00%,0.00%,33.33%,0.52,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,16.67
Trentyn Flowers,1,0.0,2,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0
