Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Zach Collins,42,8.79,14.61,2.25,66.67%,7.87,35.00%,4.49,22.22%,28.95%,3.23,0.0,0.00%,3.23,14.29%,0.0,0.00%,7.32%,44.44%,12.50%,66.67%,23.08%,20.00%,15.38%,16.67%,0.00%,0.00%,0.00%,0,0.00%
Jevon Carter,82,2.74,3.53,0.0,0.00%,1.18,6.90%,2.35,10.53%,8.96%,1.9,0.0,0.00%,0.63,2.56%,1.27,4.55%,3.61%,0.00%,6.67%,16.67%,3.85%,25.00%,0.00%,0.00%,25.00%,5.26%,0.00%,0,0.00%
Coby White,99,4.42,8.65,0.96,25.00%,4.33,19.57%,3.37,13.73%,16.49%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,28.57%,17.39%,11.11%,12.82%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Patrick Williams,206,4.04,6.73,0.7,25.00%,3.02,13.40%,3.02,14.29%,13.83%,1.38,0.0,0.00%,0.0,0.00%,1.38,5.36%,2.76%,9.09%,19.61%,0.00%,14.47%,13.33%,0.00%,0.00%,0.00%,6.25%,0.00%,0,0.00%
Dalen Terry,85,2.79,3.31,0.0,0.00%,1.1,5.13%,2.21,10.00%,7.59%,2.26,0.0,0.00%,1.13,4.55%,1.13,4.00%,4.26%,0.00%,8.70%,0.00%,6.45%,22.22%,5.56%,4.35%,0.00%,5.41%,0.00%,0,0.00%
Matas Buzelis,250,5.12,8.19,0.57,23.08%,4.38,16.31%,3.24,14.91%,15.69%,1.96,0.0,0.00%,0.78,3.57%,1.18,4.65%,4.15%,19.51%,17.57%,7.69%,14.77%,15.38%,5.08%,2.27%,0.00%,1.94%,15.38%,1,2.27%
Ayo Dosunmu,251,2.88,4.42,0.19,10.00%,1.35,5.51%,2.88,12.40%,8.87%,1.35,0.0,0.00%,0.58,2.46%,0.77,2.94%,2.71%,2.38%,6.45%,8.70%,12.77%,11.11%,5.17%,0.00%,0.00%,3.77%,0.00%,3,7.32%
Julian Phillips,102,2.84,3.21,0.46,33.33%,0.92,3.85%,1.83,6.78%,5.41%,2.44,0.49,16.67%,0.49,2.56%,1.46,5.08%,4.08%,8.33%,0.00%,9.09%,7.14%,5.88%,0.00%,5.00%,0.00%,4.88%,5.56%,0,0.00%
Kevin Huerter,235,4.09,7.1,0.41,28.57%,2.64,9.22%,4.06,20.20%,13.75%,1.03,0.0,0.00%,0.41,1.96%,0.62,2.61%,2.30%,7.69%,8.97%,12.50%,21.62%,16.00%,2.04%,2.17%,0.00%,2.25%,3.85%,1,1.85%
Isaac Okoro,193,1.99,2.45,0.25,10.00%,0.98,3.64%,1.23,5.95%,4.64%,1.52,0.0,0.00%,0.76,3.66%,0.76,3.03%,3.31%,5.88%,3.33%,0.00%,6.35%,4.76%,5.00%,2.78%,0.00%,2.60%,4.55%,1,4.17%
Tre Jones,268,2.48,4.24,0.0,0.00%,1.94,7.38%,2.3,10.74%,8.89%,0.71,0.0,0.00%,0.18,0.86%,0.53,2.34%,1.64%,2.27%,5.88%,25.00%,12.24%,4.35%,1.79%,0.00%,0.00%,2.88%,0.00%,1,3.13%
Nikola Vučević,316,7.63,12.07,0.45,23.08%,7.45,29.07%,4.17,19.05%,24.45%,3.07,0.0,0.00%,1.69,8.59%,1.38,5.33%,6.73%,24.44%,28.87%,36.67%,16.38%,29.03%,12.07%,6.67%,0.00%,5.30%,5.41%,3,4.23%
Lachlan Olbrich,42,7.79,9.21,1.32,50.00%,5.26,19.05%,2.63,10.00%,14.63%,6.41,0.0,0.00%,3.85,11.11%,2.56,11.11%,11.11%,0.00%,27.27%,25.00%,7.14%,16.67%,20.00%,7.69%,0.00%,0.00%,33.33%,0,0.00%
Emanuel Miller,15,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Trentyn Flowers,1,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
