Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Jevon Carter,79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.2,0,2,0.0
Kevin Huerter,196,1.65,1.65,0.0,1.18,0.47,0.0,0.0,0.0,0.94,57.14%,2.59,5,6,0.0
Isaac Okoro,116,2.07,2.07,0.0,2.07,0.0,0.0,0.0,0.0,1.24,60.00%,0.41,0,1,0.0
Jalen Smith,159,0.86,0.86,0.0,0.29,0.57,0.0,0.0,0.0,0.57,66.67%,0.57,2,0,0.57
Ayo Dosunmu,245,0.19,0.19,0.0,0.19,0.0,0.0,0.0,0.0,0.19,100.00%,1.33,3,4,0.0
Tre Jones,246,0.19,0.19,0.0,0.0,0.19,0.0,0.0,0.0,0.19,100.00%,3.42,6,12,0.0
Nikola Vučević,160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.58,0,2,0.0
Patrick Williams,196,0.71,0.71,0.0,0.24,0.47,0.0,0.0,0.0,0.71,100.00%,3.08,9,4,0.24
Lachlan Olbrich,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Matas Buzelis,162,1.42,1.42,0.0,1.14,0.28,0.0,0.0,0.0,0.85,60.00%,1.42,0,5,0.28
Noa Essengue,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Dalen Terry,58,0.78,0.78,0.0,0.0,0.78,0.0,0.0,0.0,0.78,100.00%,0.78,0,1,0.0
Julian Phillips,71,1.31,1.31,0.0,0.65,0.65,0.0,0.0,0.0,0.0,0.00%,2.61,3,1,0.0
Emanuel Miller,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Trentyn Flowers,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
