Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Jevon Carter,79,3.09,0.62,2.47,20.00%,0.0,0.0,0.62,1.23,0.0,0.0,0.62,0.0
Kevin Huerter,196,2.61,2.13,0.47,81.82%,0.47,0.0,1.66,0.47,0.0,0.0,0.0,0.0
Isaac Okoro,116,2.48,0.83,1.65,33.33%,0.41,0.41,0.41,0.41,0.0,0.0,0.0,0.0
Jalen Smith,159,2.94,1.47,1.47,50.00%,0.88,0.59,0.59,0.29,0.29,0.0,0.0,0.0
Ayo Dosunmu,245,2.1,1.34,0.76,63.64%,0.96,0.57,0.38,0.0,0.0,0.0,0.0,0.0
Tre Jones,246,2.83,1.13,1.7,40.00%,0.75,0.38,0.38,0.75,0.38,0.0,0.0,0.0
Nikola Vučević,160,3.54,2.06,1.47,58.33%,0.29,0.0,1.77,0.59,0.59,0.0,0.0,0.0
Patrick Williams,196,3.07,2.13,0.95,69.23%,0.71,0.0,1.42,0.24,0.0,0.0,0.71,0.0
Lachlan Olbrich,15,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matas Buzelis,162,4.65,3.2,1.45,68.75%,2.91,0.87,0.29,0.29,0.29,0.0,0.0,0.0
Noa Essengue,2,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dalen Terry,58,3.33,3.33,0.0,100.00%,0.83,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Julian Phillips,71,0.68,0.0,0.68,0.00%,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0
Emanuel Miller,14,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trentyn Flowers,1,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
