Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Larry Nance Jr.,120,4.44,10.89,2.42,2.02,1.61,0.81,0.0,0.4,1.61
Lonzo Ball,203,7.53,19.41,3.2,4.34,2.05,0.91,0.23,1.37,2.97
Donovan Mitchell,454,7.76,18.63,4.66,3.11,3.11,1.45,0.1,1.24,1.86
Jarrett Allen,198,3.27,8.41,1.4,1.87,0.23,0.7,0.47,0.93,0.93
Sam Merrill,174,4.64,11.34,2.58,2.06,1.55,0.52,0.52,0.0,2.06
Jaylon Tyson,327,3.65,8.92,2.05,1.61,1.17,0.73,0.15,0.44,1.17
Tyrese Proctor,154,5.77,14.42,2.88,2.88,2.24,0.64,0.0,1.28,1.6
De'Andre Hunter,300,4.18,10.37,2.17,2.01,0.93,0.93,0.31,0.62,1.39
Evan Mobley,398,5.9,15.04,2.65,3.25,1.68,0.84,0.12,1.44,1.81
Craig Porter Jr.,245,7.92,18.73,5.02,2.9,3.86,0.97,0.19,0.97,1.93
Nae'Qwan Tomlin,236,1.88,4.17,1.46,0.42,1.25,0.21,0.0,0.0,0.42
Luke Travers,60,3.97,8.73,3.17,0.79,2.38,0.79,0.0,0.0,0.79
Chris Livingston,17,2.78,5.56,2.78,0.0,0.0,2.78,0.0,0.0,0.0
Thomas Bryant,135,2.08,4.5,1.73,0.35,1.38,0.35,0.0,0.0,0.35
