Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Larry Nance Jr.,215,-3.71,450,10.44,2.44,6.44,37.93%,1.78,6.44,27.59%,27.59%,0.22,3.56,1.33,5.33,0.0,72.73%,72.73%,100.00%,50.00%,0.59,39.66%,39.83%,0.0,0.89,13.79%,0.0,0.00%,13.12
Lonzo Ball,546,1.63,1183,10.82,1.1,2.28,48.15%,2.54,9.64,26.32%,26.32%,1.01,1.18,1.01,6.09,1.52,53.85%,58.33%,80.00%,80.85%,0.57,41.13%,42.95%,0.17,0.42,18.52%,0.08,0.88%,14.07
Donovan Mitchell,910,7.06,1936,41.58,9.09,15.13,60.07%,5.48,14.26,38.41%,38.41%,6.97,3.93,14.26,9.45,6.97,21.59%,21.71%,57.55%,48.51%,0.54,58.88%,63.09%,0.1,0.83,5.46%,0.05,0.36%,32.62
Jarrett Allen,492,5.11,1067,24.65,9.56,15.28,62.58%,0.0,0.37,0.00%,0.00%,5.53,15.93,3.19,0.0,0.0,83.33%,93.41%,0.00%,2.40%,0.58,61.08%,65.10%,2.06,1.5,9.82%,0.0,0.00%,19.13
Sam Merrill,344,6.7,753,25.63,1.73,2.92,59.09%,6.64,14.87,44.64%,44.64%,2.26,2.66,0.8,17.93,1.99,76.92%,100.00%,90.00%,83.58%,0.55,65.67%,67.61%,0.8,0.0,0.00%,0.0,0.00%,17.82
Jaylon Tyson,669,4.11,1404,22.93,5.41,9.05,59.84%,3.42,7.48,45.71%,45.71%,1.85,6.98,3.85,10.26,0.0,64.47%,76.56%,100.00%,45.26%,0.6,63.79%,65.71%,1.71,0.93,10.24%,0.0,0.00%,16.83
Tyrese Proctor,245,-4.16,506,19.96,3.36,7.91,42.50%,3.16,13.04,24.24%,24.24%,3.75,2.77,3.95,8.3,1.19,41.18%,41.18%,87.50%,62.26%,0.54,38.68%,43.16%,0.0,1.38,17.50%,0.0,0.00%,21.59
De'Andre Hunter,739,-1.5,1568,25.96,5.61,10.01,56.05%,3.19,10.14,31.45%,31.45%,5.17,6.89,4.34,7.65,1.91,61.36%,64.29%,80.00%,50.32%,0.54,51.58%,57.16%,0.51,0.83,8.28%,0.0,0.00%,21.85
Evan Mobley,812,5.11,1696,26.53,7.55,13.8,54.70%,2.12,5.96,35.64%,35.64%,5.07,10.02,5.07,5.48,0.88,66.41%,75.22%,86.11%,30.15%,0.58,54.33%,56.82%,1.77,0.88,6.41%,0.06,0.99%,23.0
Dean Wade,652,5.87,1371,11.96,1.6,2.63,61.11%,2.41,7.59,31.73%,31.73%,1.53,2.77,0.44,7.0,0.22,86.36%,95.00%,96.97%,74.29%,0.59,51.07%,53.59%,0.29,0.29,11.11%,0.0,0.00%,10.13
Craig Porter Jr.,396,4.07,835,16.41,4.79,7.9,60.61%,1.92,4.19,45.71%,45.71%,1.08,4.79,4.79,4.31,1.44,50.00%,55.56%,75.00%,34.65%,0.57,63.37%,62.96%,0.96,0.72,9.09%,0.0,0.00%,13.15
Darius Garland,435,-5.08,929,27.02,5.49,12.16,45.13%,3.66,10.33,35.42%,35.42%,5.06,3.44,7.53,6.46,4.52,31.37%,32.00%,58.82%,45.93%,0.53,48.80%,53.86%,0.22,0.75,6.19%,0.0,0.00%,25.92
Nae'Qwan Tomlin,328,10.77,660,20.91,6.67,10.91,61.11%,1.52,6.06,25.00%,25.00%,3.03,8.79,4.55,4.09,0.45,65.91%,87.88%,90.00%,35.71%,0.64,52.68%,54.33%,3.33,1.21,11.11%,0.0,0.00%,17.44
Luke Travers,84,-7.42,177,13.56,3.95,8.47,46.67%,0.56,8.47,6.67%,6.67%,3.95,4.52,3.39,1.69,0.0,57.14%,80.00%,100.00%,50.00%,0.61,28.33%,36.36%,2.26,1.13,13.33%,0.0,0.00%,17.14
Chris Livingston,17,24.7,36,25.0,11.11,11.11,100.00%,0.0,8.33,0.00%,0.00%,2.78,16.67,5.56,0.0,0.0,75.00%,75.00%,0.00%,42.86%,0.64,57.14%,64.29%,0.0,0.0,0.00%,0.0,0.00%,18.92
Thomas Bryant,214,2.98,454,22.25,5.51,8.59,64.10%,2.42,7.27,33.33%,33.33%,3.96,9.69,1.32,7.27,0.0,88.00%,95.65%,100.00%,45.83%,0.59,57.64%,62.35%,0.88,1.1,12.82%,0.0,0.00%,16.7
