Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Larry Nance Jr.,215,4.32,6.19,0.44,25.00%,2.65,12.90%,3.1,13.33%,13.13%,2.44,0.0,0.00%,0.89,4.44%,1.56,5.30%,4.95%,15.79%,5.56%,21.05%,16.25%,4.00%,7.41%,2.13%,6.25%,3.96%,9.68%,2,6.06%
Lonzo Ball,546,4.38,6.76,1.03,40.00%,2.65,12.20%,3.08,13.64%,12.93%,2.03,0.0,0.00%,0.85,4.48%,1.18,3.98%,4.17%,15.18%,6.12%,18.18%,10.73%,23.73%,4.55%,3.81%,6.67%,4.56%,2.25%,0,0.00%
Donovan Mitchell,910,3.16,5.15,0.1,3.77%,2.24,9.60%,2.81,13.57%,11.47%,1.19,0.0,0.00%,0.46,2.41%,0.72,2.76%,2.61%,9.14%,7.37%,15.66%,13.92%,12.36%,3.52%,2.27%,0.00%,2.53%,3.54%,5,1.89%
Jarrett Allen,492,6.51,9.31,0.85,36.00%,3.89,16.40%,4.56,20.96%,18.58%,3.75,0.0,0.00%,2.25,10.71%,1.5,6.58%,8.57%,14.55%,19.80%,12.82%,19.76%,24.19%,8.33%,14.17%,3.13%,6.59%,6.56%,5,10.42%
Sam Merrill,344,2.02,2.59,0.0,0.00%,1.63,5.97%,0.95,4.93%,5.54%,1.46,0.0,0.00%,0.27,1.49%,1.2,4.39%,3.24%,6.33%,3.88%,15.79%,5.08%,4.17%,0.00%,2.78%,0.00%,4.73%,2.78%,1,1.43%
Jaylon Tyson,669,4.68,6.01,0.28,11.11%,2.83,11.83%,2.9,13.18%,12.48%,3.35,0.14,6.25%,1.35,6.57%,1.85,6.55%,6.56%,5.34%,14.57%,19.64%,11.69%,19.05%,5.04%,7.58%,7.89%,7.36%,4.08%,9,9.47%
Tyrese Proctor,245,2.92,5.18,0.0,0.00%,1.54,6.15%,3.65,15.83%,10.80%,0.59,0.0,0.00%,0.2,0.92%,0.4,1.32%,1.15%,8.51%,6.67%,0.00%,15.79%,16.00%,0.00%,2.17%,0.00%,0.85%,2.94%,0,0.00%
De'Andre Hunter,739,3.61,6.03,0.45,23.33%,2.44,10.27%,3.14,14.80%,12.41%,1.21,0.0,0.00%,0.32,1.52%,0.89,3.23%,2.49%,9.62%,8.86%,16.07%,13.88%,17.44%,0.85%,2.42%,0.00%,3.15%,3.53%,4,2.47%
Evan Mobley,812,6.43,9.25,0.53,24.32%,5.39,21.96%,3.34,15.08%,18.70%,3.6,0.29,10.20%,1.77,9.01%,1.53,5.49%,6.94%,23.49%,22.03%,18.42%,15.44%,13.98%,9.22%,9.03%,8.33%,5.21%,6.67%,9,5.81%
Dean Wade,652,4.17,6.61,0.21,8.57%,4.12,16.71%,2.27,11.27%,14.26%,1.68,0.0,0.00%,0.66,3.17%,1.02,3.62%,3.43%,13.16%,20.39%,16.28%,11.66%,9.84%,4.20%,1.63%,4.76%,3.27%,4.94%,4,5.06%
