Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Larry Nance Jr.,120,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.00%,2.43,1,5,0.0
Lonzo Ball,203,0.71,0.71,0.0,0.0,0.24,0.47,0.0,0.0,0.47,66.67%,3.29,6,8,0.0
Donovan Mitchell,454,0.32,0.32,0.0,0.21,0.11,0.0,0.0,0.0,0.11,33.33%,2.25,7,14,0.0
Jarrett Allen,198,0.73,0.73,0.0,0.73,0.0,0.0,0.0,0.0,0.49,66.67%,1.22,3,2,0.0
Sam Merrill,174,0.28,0.28,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.00%,0.56,1,1,0.0
Jaylon Tyson,327,0.73,0.58,0.15,0.15,0.29,0.15,0.0,0.15,0.0,0.00%,1.6,1,10,0.0
Tyrese Proctor,154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.9,1,2,0.0
De'Andre Hunter,300,0.32,0.32,0.0,0.16,0.0,0.16,0.0,0.0,0.32,100.00%,1.27,5,3,0.0
Evan Mobley,398,2.95,2.83,0.12,2.09,0.74,0.0,0.0,0.12,1.23,41.67%,1.35,4,7,0.12
Craig Porter Jr.,245,1.74,1.55,0.19,0.39,1.16,0.0,0.19,0.0,1.16,66.67%,3.48,9,9,0.0
Nae'Qwan Tomlin,236,2.23,2.23,0.0,0.81,1.42,0.0,0.0,0.0,1.22,54.55%,1.42,1,6,0.0
Luke Travers,60,2.26,2.26,0.0,0.0,2.26,0.0,0.0,0.0,2.26,100.00%,3.01,0,4,0.0
Chris Livingston,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.7,0,1,0.0
Thomas Bryant,135,1.7,1.7,0.0,1.02,0.68,0.0,0.0,0.0,1.36,80.00%,1.36,2,2,0.0
