Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Larry Nance Jr.,120,1.21,0.0,1.21,0.00%,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0
Lonzo Ball,203,4.11,2.74,1.37,66.67%,0.68,0.0,2.05,1.14,0.0,0.0,0.0,0.0
Donovan Mitchell,454,4.66,2.8,1.86,60.00%,1.14,0.41,1.66,0.83,0.21,0.0,0.0,0.0
Jarrett Allen,198,3.04,1.64,1.4,53.85%,1.17,0.23,0.47,0.23,0.0,0.0,0.0,0.0
Sam Merrill,174,1.03,0.52,0.52,50.00%,0.0,0.0,0.52,0.0,0.0,0.0,0.26,0.0
Jaylon Tyson,327,1.9,1.17,0.73,61.54%,0.15,0.0,1.02,0.15,0.29,0.0,0.0,0.0
Tyrese Proctor,154,1.28,0.0,1.28,0.00%,0.0,0.32,0.0,0.0,0.32,0.0,0.0,0.0
De'Andre Hunter,300,3.72,2.48,1.24,66.67%,1.08,0.62,1.39,0.15,0.0,0.0,0.15,0.0
Evan Mobley,398,3.61,2.29,1.32,63.33%,1.2,0.36,1.08,0.36,0.12,0.0,0.0,0.0
Craig Porter Jr.,245,3.28,2.7,0.58,82.35%,0.19,0.19,2.51,0.39,0.0,0.0,0.0,0.0
Nae'Qwan Tomlin,236,0.83,0.42,0.42,50.00%,0.21,0.0,0.21,0.21,0.0,0.0,0.0,0.0
Luke Travers,60,0.79,0.79,0.0,100.00%,0.0,0.0,0.79,0.0,0.0,0.0,0.0,0.0
Chris Livingston,17,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Bryant,135,2.08,0.35,1.73,16.67%,0.35,0.0,0.0,0.69,0.0,0.0,0.0,0.35
