player,team,gameInfo,salary,value,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointsMade,threePointsAttempted,freeThrowsMade,freeThrowsAttempted,assists,steals,blocks,turnovers,points,rebounds,gamesPlayed,fieldGoalShootingPercentage,threePointsShootingPercentage,freeThrowShootingPercentage,fantasy,positionRank,overallRank
Kyle Lowry,Philadelphia 76ers,PHI @ DAL,$3500,1.14,5.47,0.5,1,0.2,0.7,0.2,0.3,0.8,0.2,0.1,0.2,1.4,0.6,,,,,4,,
Eric Gordon,Philadelphia 76ers,PHI @ DAL,$3500,1.46,7.5,0.9,2,0.5,1.3,0.3,0.4,0.6,0.3,0.1,0.3,2.7,0.5,,,,,5.1,,
Klay Thompson,Dallas Mavericks,PHI @ DAL,$4100,4.73,23,4.1,10.3,2.6,7,0.8,0.9,1.8,0.6,0.3,1,11.6,2.8,,,,,19.4,,
Paul George,Philadelphia 76ers,PHI @ DAL,$6800,4.54,31,5.3,12.4,2.2,5.9,2.1,2.5,3.7,1.5,0.5,2.2,14.9,5.5,,,,,30.9,,
Andre Drummond,Philadelphia 76ers,PHI @ DAL,$5000,2.28,10.2,1.4,2.7,0.1,0.4,0.6,0.9,0.4,0.4,0.4,0.5,3.6,4.4,,,,,11.4,,
Anthony Davis,Dallas Mavericks,PHI @ DAL,$10200,4.49,32,7.9,15.7,0.7,2.4,4.2,5.5,3.6,1.1,1.8,2,20.6,10.9,,,,,45.8,,
Joel Embiid,Philadelphia 76ers,PHI @ DAL,$8500,4.52,30,6.4,14.9,1.1,3.9,5.7,6.7,3.6,0.8,1.2,2.6,19.6,8.3,,,,,38.4,,
Dwight Powell,Dallas Mavericks,PHI @ DAL,$3800,1.42,6.94,0.6,0.9,0.1,0.1,0.4,0.6,0.7,0.2,0.2,0.3,1.7,1.5,,,,,5.4,,
D'Angelo Russell,Dallas Mavericks,PHI @ DAL,$3800,1.71,6.61,1.1,2.8,0.5,1.6,0.5,0.6,1.4,0.2,0.1,0.5,3.2,0.7,,,,,6.5,,
Kelly Oubre,Philadelphia 76ers,PHI @ DAL,$5200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,,
Dennis Smith Jr.,Dallas Mavericks,PHI @ DAL,N/A,N/A,3.21,0.4,1,0.1,0.4,0.1,0.2,0.7,0.2,0,0.2,1.1,0.4,,,,,3,,
PJ Washington,Dallas Mavericks,PHI @ DAL,$7300,4.4,33,5.3,11.7,1.7,4.5,2.4,3.3,2.5,1.1,1.1,2.2,14.6,7.8,,,,,32.1,,
