Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
D'Angelo Russell,216,-2.58,458,27.07,5.9,10.48,56.25%,3.71,11.79,31.48%,31.48%,4.15,1.75,10.04,7.21,3.93,14.81%,15.38%,64.71%,52.94%,0.5,51.47%,53.95%,0.44,0.66,6.25%,0.0,0.00%,26.88
Caleb Martin,177,-3.24,382,7.33,2.62,6.02,43.48%,0.26,2.09,12.50%,12.50%,1.31,3.14,2.09,0.79,0.0,60.00%,60.00%,100.00%,25.81%,0.6,37.10%,41.18%,0.0,0.79,13.04%,0.0,0.00%,9.86
Daniel Gafford,227,6.15,466,15.67,6.44,10.73,60.00%,0.0,0.0,0.00%,0.00%,2.79,8.58,4.29,0.0,0.0,66.67%,86.96%,0.00%,0.00%,0.58,60.00%,62.93%,3.0,1.07,10.00%,0.0,0.00%,14.26
Naji Marshall,609,-6.69,1280,22.19,6.64,10.63,62.50%,1.64,5.0,32.81%,32.81%,3.98,7.34,5.94,4.45,0.47,55.29%,61.04%,90.48%,32.00%,0.54,58.25%,62.56%,1.25,0.86,8.09%,0.08,1.56%,17.62
Cooper Flagg,649,-3.64,1357,29.26,9.95,17.17,57.94%,1.4,4.94,28.36%,28.36%,5.16,8.25,11.64,3.54,0.66,41.48%,43.08%,84.21%,22.33%,0.53,54.50%,59.08%,0.74,1.25,7.30%,0.0,0.00%,25.02
Klay Thompson,361,-2.21,773,26.26,2.33,6.73,34.62%,6.73,16.56,40.63%,40.63%,1.42,4.14,0.52,18.63,1.55,88.89%,88.89%,92.31%,71.11%,0.52,53.33%,53.51%,0.0,0.39,5.77%,0.13,0.78%,22.6
Brandon Williams,348,-3.17,747,24.77,8.03,14.19,56.60%,0.67,5.49,12.20%,12.20%,6.69,5.09,10.98,2.01,0.0,31.67%,32.20%,100.00%,27.89%,0.56,45.92%,53.16%,0.27,1.47,10.38%,0.13,2.44%,24.37
Ryan Nembhard,248,1.02,509,22.2,5.5,9.43,58.33%,3.73,6.68,55.88%,55.88%,0.0,2.75,8.25,10.02,1.18,25.00%,25.00%,89.47%,41.46%,0.5,68.90%,68.90%,0.0,0.2,2.08%,0.0,0.00%,17.49
Anthony Davis,271,-2.77,562,34.52,12.46,24.2,51.47%,1.25,3.2,38.89%,38.89%,5.87,15.66,9.25,3.2,0.53,62.86%,80.00%,85.71%,11.69%,0.52,52.27%,55.14%,5.34,1.07,4.41%,0.0,0.00%,30.38
Moussa Cisse,86,-3.61,181,13.26,4.97,7.18,69.23%,0.0,0.0,0.00%,0.00%,3.31,7.73,2.21,0.0,0.0,77.78%,87.50%,0.00%,0.00%,0.64,69.23%,66.67%,1.1,0.55,7.69%,0.0,0.00%,12.38
Jaden Hardy,125,11.41,263,19.77,4.56,7.98,57.14%,2.66,7.98,33.33%,33.33%,2.66,6.08,3.04,7.98,0.0,66.67%,72.73%,100.00%,50.00%,0.57,53.57%,57.78%,0.76,0.76,9.52%,0.0,0.00%,17.43
Dwight Powell,165,-1.71,350,9.14,2.57,4.29,60.00%,0.0,0.0,0.00%,0.00%,4.0,5.14,0.0,0.0,0.0,100.00%,100.00%,0.00%,0.00%,0.61,60.00%,66.67%,0.0,0.29,6.67%,0.0,0.00%,8.01
Max Christie,447,-1.42,934,19.27,2.46,4.82,51.11%,4.18,9.1,45.88%,45.88%,1.82,2.57,2.36,11.56,0.96,52.17%,52.17%,92.31%,65.38%,0.56,62.69%,64.13%,0.0,0.75,15.56%,0.11,1.18%,14.75
Dereck Lively II,52,-10.21,109,12.84,4.59,8.26,55.56%,0.0,0.0,0.00%,0.00%,3.67,7.34,1.83,0.0,0.0,80.00%,80.00%,0.00%,0.00%,0.63,55.56%,58.33%,0.0,0.0,0.00%,0.0,0.00%,12.0
Miles Kelly,2,-88.89,9,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,10.0
