Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
D'Angelo Russell,448,0.21,0.21,0.0,0.0,0.21,0.0,0.0,0.0,0.11,50.00%,1.26,7,5,0.0
Caleb Martin,232,0.59,0.59,0.0,0.59,0.0,0.0,0.0,0.0,0.59,100.00%,2.17,3,8,0.0
P.J. Washington,865,2.1,1.83,0.27,1.13,0.65,0.05,0.11,0.16,1.08,51.28%,1.4,9,17,0.16
Daniel Gafford,471,3.45,3.35,0.1,2.13,1.12,0.1,0.0,0.1,2.43,70.59%,1.93,9,10,0.2
Klay Thompson,648,0.65,0.5,0.14,0.14,0.36,0.0,0.14,0.0,0.43,66.67%,0.72,4,6,0.0
Naji Marshall,931,0.15,0.15,0.0,0.1,0.05,0.0,0.0,0.0,0.05,33.33%,1.7,13,21,0.0
Brandon Williams,621,0.45,0.3,0.15,0.15,0.15,0.0,0.0,0.15,0.23,50.00%,2.57,8,26,0.0
Jaden Hardy,213,0.44,0.44,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.00%,1.1,2,3,0.0
Max Christie,879,0.59,0.59,0.0,0.32,0.27,0.0,0.0,0.0,0.43,72.73%,0.86,2,14,0.0
Cooper Flagg,1095,1.16,1.08,0.09,0.39,0.69,0.0,0.0,0.09,0.69,59.26%,1.68,10,29,0.26
Moussa Cisse,166,4.48,4.48,0.0,1.4,3.08,0.0,0.0,0.0,2.8,62.50%,1.4,3,2,0.84
Anthony Davis,458,2.49,2.49,0.0,1.35,1.04,0.1,0.0,0.0,1.25,50.00%,2.08,7,13,0.21
Ryan Nembhard,407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.6,4,1,0.0
Dwight Powell,274,1.36,1.36,0.0,0.68,0.68,0.0,0.0,0.0,0.68,50.00%,1.7,4,6,0.0
Dereck Lively II,112,4.56,4.56,0.0,2.07,2.49,0.0,0.0,0.0,3.32,72.73%,1.66,4,0,0.0
Miles Kelly,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
