Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
D'Angelo Russell,448,4.84,2.94,1.89,60.87%,0.74,0.42,2.21,1.05,0.0,0.0,0.0,0.0
Caleb Martin,232,1.82,1.41,0.4,77.78%,0.61,0.0,0.81,0.0,0.2,0.0,0.0,0.0
P.J. Washington,865,3.56,2.3,1.26,64.62%,1.2,0.05,1.09,0.49,0.05,0.0,0.11,0.05
Daniel Gafford,471,3.43,1.82,1.61,52.94%,0.5,0.5,1.31,0.3,0.1,0.0,0.0,0.0
Klay Thompson,648,1.78,0.86,0.93,48.00%,0.36,0.21,0.5,0.43,0.07,0.0,0.07,0.0
Naji Marshall,931,2.03,1.17,0.86,57.50%,0.46,0.1,0.71,0.31,0.05,0.0,0.05,0.0
Brandon Williams,621,3.85,2.8,1.06,72.55%,0.76,0.15,2.04,0.53,0.08,0.0,0.08,0.0
Jaden Hardy,213,2.64,1.98,0.66,75.00%,0.44,0.22,1.54,0.0,0.0,0.0,0.0,0.0
Max Christie,879,1.91,1.2,0.71,62.86%,0.44,0.05,0.76,0.27,0.05,0.0,0.11,0.0
Cooper Flagg,1095,3.14,1.83,1.31,58.33%,1.18,0.17,0.66,0.26,0.31,0.0,0.26,0.0
Moussa Cisse,166,3.16,0.86,2.3,27.27%,0.86,0.57,0.0,0.29,0.0,0.0,0.0,0.0
Anthony Davis,458,2.94,1.79,1.16,60.71%,1.16,0.42,0.63,0.32,0.11,0.0,0.0,0.0
Ryan Nembhard,407,3.84,2.64,1.2,68.75%,0.84,0.0,1.8,0.48,0.24,0.0,0.0,0.0
Dwight Powell,274,1.53,0.85,0.68,55.56%,0.68,0.0,0.17,0.34,0.0,0.0,0.0,0.0
Dereck Lively II,112,4.15,0.83,3.32,20.00%,0.0,0.0,0.83,0.41,0.41,0.0,0.0,0.0
Miles Kelly,2,11.11,0.0,11.11,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
