Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Jamal Murray,297,11.87,28.26,7.36,4.52,3.85,3.01,0.5,1.17,3.34
Bruce Brown,305,3.59,8.48,2.28,1.31,1.63,0.33,0.33,0.49,0.82
Jalen Pickett,142,7.09,16.67,4.61,2.48,2.48,1.77,0.35,0.71,1.77
Zeke Nnaji,118,1.66,4.15,0.83,0.83,0.83,0.0,0.0,0.41,0.41
Spencer Jones,221,2.29,6.19,0.69,1.61,0.46,0.23,0.0,0.0,1.61
Jonas Valančiūnas,225,4.8,10.92,3.49,1.31,1.97,1.31,0.22,0.66,0.66
Peyton Watson,255,2.78,7.34,0.99,1.79,0.6,0.4,0.0,0.0,1.79
Tim Hardaway Jr.,268,2.72,6.7,1.45,1.27,0.54,0.91,0.0,0.91,0.36
Aaron Gordon,56,2.65,7.08,0.88,1.77,0.0,0.88,0.0,0.0,1.77
Julian Strawther,82,4.09,11.11,1.17,2.92,0.58,0.0,0.58,0.0,2.92
DaRon Holmes II,87,6.79,17.28,3.09,3.7,1.23,0.62,1.23,1.23,2.47
Hunter Tyson,41,3.53,10.59,0.0,3.53,0.0,0.0,0.0,0.0,3.53
Christian Braun,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Jones,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
