Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Jamal Murray,148,-25.92,297,30.3,8.75,16.84,52.00%,3.03,9.43,32.14%,32.14%,3.7,2.69,14.81,3.03,6.06,15.38%,16.00%,33.33%,35.90%,0.49,50.64%,54.22%,0.67,1.01,6.00%,0.0,0.00%,28.1
Bruce Brown,168,-18.49,345,15.94,6.09,12.17,50.00%,0.87,2.9,30.00%,30.00%,1.16,4.64,7.54,2.61,0.0,38.10%,57.14%,100.00%,19.23%,0.52,49.04%,51.89%,4.06,0.87,7.14%,0.0,0.00%,16.28
Jalen Pickett,39,-4.78,83,16.87,3.61,7.23,50.00%,2.41,4.82,50.00%,50.00%,2.41,4.82,2.41,3.61,3.61,66.67%,66.67%,50.00%,40.00%,0.51,60.00%,63.64%,0.0,1.2,16.67%,0.0,0.00%,16.84
Zeke Nnaji,46,-18.62,96,12.5,2.08,4.17,50.00%,1.04,5.21,20.00%,20.00%,5.21,2.08,2.08,3.13,0.0,50.00%,50.00%,100.00%,55.56%,0.55,38.89%,50.00%,0.0,1.04,25.00%,0.0,0.00%,12.15
Jonas Valančiūnas,170,-23.28,345,27.54,10.14,18.84,53.85%,0.0,1.45,0.00%,0.00%,7.25,12.75,7.54,0.0,0.0,62.86%,75.86%,0.00%,7.14%,0.49,50.00%,56.55%,3.48,1.74,9.23%,0.0,0.00%,26.89
Peyton Watson,97,-22.84,192,9.9,3.65,7.81,46.67%,0.52,4.17,12.50%,12.50%,1.04,6.25,1.04,1.56,0.0,85.71%,85.71%,100.00%,34.78%,0.53,36.96%,39.58%,0.0,1.56,20.00%,0.0,0.00%,12.96
Spencer Jones,71,-13.99,145,24.14,1.38,2.07,66.67%,6.9,9.66,71.43%,71.43%,0.69,1.38,1.38,20.69,0.0,50.00%,100.00%,100.00%,82.35%,0.57,100.00%,97.22%,1.38,0.0,0.00%,0.0,0.00%,13.13
Tim Hardaway Jr.,154,-22.08,317,21.14,2.21,5.36,41.18%,5.05,11.99,42.11%,42.11%,1.58,3.79,0.63,14.2,0.95,85.71%,100.00%,93.75%,69.09%,0.53,56.36%,57.76%,0.63,0.95,17.65%,0.0,0.00%,17.05
Julian Strawther,58,-22.36,123,22.76,5.69,12.2,46.67%,1.63,4.88,33.33%,33.33%,6.5,8.13,3.25,4.88,0.0,71.43%,71.43%,100.00%,28.57%,0.48,47.62%,56.00%,0.0,1.63,13.33%,0.81,16.67%,21.17
Hunter Tyson,22,4.94,47,4.26,2.13,12.77,16.67%,0.0,12.77,0.00%,0.00%,0.0,0.0,4.26,0.0,0.0,0.00%,0.00%,0.00%,50.00%,0.55,8.33%,8.33%,4.26,6.38,50.00%,0.0,0.00%,21.43
Curtis Jones,6,38.57,10,20.0,10.0,20.0,50.00%,0.0,10.0,0.00%,0.00%,0.0,0.0,20.0,0.0,0.0,0.00%,0.00%,0.00%,33.33%,0.4,33.33%,33.33%,20.0,0.0,0.00%,0.0,0.00%,27.27
DaRon Holmes II,5,-100.0,10,30.0,0.0,0.0,0.00%,10.0,10.0,100.00%,100.00%,0.0,0.0,0.0,30.0,0.0,0.00%,0.00%,100.00%,100.00%,0.57,150.00%,150.00%,0.0,0.0,0.00%,0.0,0.00%,10.0
