Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Jamal Murray,148,2.85,5.0,1.0,42.86%,1.67,8.06%,2.33,10.14%,9.16%,0.67,0.0,0.00%,0.67,2.47%,0.0,0.00%,1.44%,0.00%,3.70%,20.00%,12.24%,5.00%,4.35%,2.63%,0.00%,0.00%,0.00%,1,2.50%
Bruce Brown,168,4.63,6.36,0.58,25.00%,2.89,14.71%,2.89,11.90%,13.16%,2.9,0.0,0.00%,1.74,6.00%,1.16,6.06%,6.02%,6.25%,18.75%,15.00%,8.77%,18.52%,3.85%,7.27%,5.26%,5.45%,9.09%,1,4.00%
Jalen Pickett,39,5.33,9.3,0.0,0.00%,3.49,13.64%,5.81,21.74%,17.78%,1.2,0.0,0.00%,0.0,0.00%,1.2,5.00%,2.44%,0.00%,20.00%,25.00%,23.53%,16.67%,0.00%,0.00%,0.00%,6.25%,0.00%,0,0.00%
Zeke Nnaji,46,3.57,5.0,0.0,0.00%,1.0,5.00%,4.0,12.50%,9.62%,2.08,0.0,0.00%,2.08,5.88%,0.0,0.00%,3.92%,11.11%,0.00%,0.00%,13.64%,10.00%,9.09%,5.56%,0.00%,0.00%,0.00%,0,0.00%
Jonas Valančiūnas,170,9.29,14.53,0.58,33.33%,6.1,29.58%,7.85,32.93%,31.37%,4.06,0.0,0.00%,2.9,10.75%,1.16,6.15%,8.86%,16.67%,41.94%,22.73%,34.55%,29.63%,7.41%,10.42%,16.67%,7.84%,0.00%,1,3.45%
Peyton Watson,97,3.1,4.1,0.51,16.67%,1.03,4.26%,2.56,13.51%,8.33%,2.08,0.0,0.00%,0.52,2.04%,1.56,7.69%,4.55%,0.00%,9.09%,0.00%,13.33%,14.29%,0.00%,4.35%,0.00%,9.38%,0.00%,0,0.00%
Spencer Jones,71,2.73,2.7,0.0,0.00%,0.68,3.13%,2.03,7.14%,5.41%,2.76,0.0,0.00%,2.07,7.89%,0.69,3.23%,5.80%,10.00%,0.00%,0.00%,7.14%,7.14%,7.69%,5.88%,12.50%,0.00%,12.50%,1,20.00%
Tim Hardaway Jr.,154,1.74,3.15,0.0,0.00%,0.63,3.33%,2.52,10.53%,7.35%,0.32,0.0,0.00%,0.32,1.11%,0.0,0.00%,0.67%,0.00%,7.14%,0.00%,11.54%,8.33%,3.85%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Julian Strawther,58,2.06,4.17,0.0,0.00%,0.83,4.76%,3.33,12.90%,9.62%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,10.00%,0.00%,21.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Hunter Tyson,22,7.0,9.43,1.89,50.00%,5.66,27.27%,1.89,6.67%,15.38%,4.26,0.0,0.00%,2.13,7.69%,2.13,5.88%,6.67%,20.00%,33.33%,0.00%,0.00%,20.00%,0.00%,14.29%,0.00%,7.69%,0.00%,0,0.00%
Curtis Jones,6,8.33,7.14,0.0,0.00%,7.14,20.00%,0.0,0.00%,10.00%,10.0,0.0,0.00%,10.0,50.00%,0.0,0.00%,16.67%,0.00%,33.33%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,1,50.00%
DaRon Holmes II,5,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
