Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Jamal Murray,297,0.5,0.5,0.0,0.33,0.17,0.0,0.0,0.0,0.17,33.33%,0.5,0,3,0.0
Bruce Brown,305,0.65,0.49,0.16,0.32,0.16,0.0,0.16,0.0,0.16,25.00%,2.6,2,14,0.0
Jalen Pickett,142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.69,1,1,0.0
Zeke Nnaji,118,2.42,2.02,0.4,1.21,0.81,0.0,0.0,0.4,0.81,33.33%,2.02,0,5,0.0
Spencer Jones,221,0.68,0.68,0.0,0.45,0.23,0.0,0.0,0.0,0.68,100.00%,1.35,4,2,0.0
Jonas Valančiūnas,225,3.12,3.12,0.0,1.56,1.56,0.0,0.0,0.0,2.0,64.29%,0.45,0,2,0.0
Peyton Watson,255,0.98,0.78,0.2,0.2,0.59,0.0,0.0,0.2,0.78,80.00%,1.37,2,5,0.2
Tim Hardaway Jr.,268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.54,1,2,0.0
Aaron Gordon,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.8,2,0,0.0
Julian Strawther,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
DaRon Holmes II,87,1.2,1.2,0.0,1.2,0.0,0.0,0.0,0.0,1.2,100.00%,0.0,0,0,0.0
Hunter Tyson,41,1.1,1.1,0.0,1.1,0.0,0.0,0.0,0.0,1.1,100.00%,1.1,0,1,0.0
Christian Braun,27,1.92,1.92,0.0,0.0,1.92,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Curtis Jones,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
