Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Jamal Murray,148,3.37,2.69,0.67,80.00%,1.01,0.0,1.68,0.34,0.34,0.0,0.0,0.0
Bruce Brown,168,2.9,1.74,1.16,60.00%,0.29,0.29,1.45,0.0,0.29,0.0,0.29,0.0
Jalen Pickett,39,6.02,3.61,2.41,60.00%,1.2,0.0,2.41,0.0,1.2,0.0,0.0,0.0
Zeke Nnaji,46,1.04,1.04,0.0,100.00%,0.0,0.0,1.04,0.0,0.0,0.0,0.0,0.0
Jonas Valančiūnas,170,5.51,2.32,3.19,42.11%,1.45,0.29,0.87,0.0,0.0,0.0,0.0,0.0
Peyton Watson,97,2.08,0.52,1.56,25.00%,0.52,0.52,0.0,0.52,0.0,0.0,0.0,0.0
Spencer Jones,71,2.07,2.07,0.0,100.00%,0.0,0.0,2.07,0.0,0.0,0.0,0.0,0.0
Tim Hardaway Jr.,154,0.63,0.32,0.32,50.00%,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Julian Strawther,58,3.25,1.63,1.63,50.00%,1.63,0.0,0.0,1.63,0.0,0.0,0.0,0.0
Hunter Tyson,22,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curtis Jones,6,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaRon Holmes II,5,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
