Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Caris LeVert,153,9.75,22.33,6.92,2.83,5.03,1.57,0.31,0.63,2.2
Duncan Robinson,131,3.61,7.94,2.89,0.72,2.89,0.0,0.0,0.0,0.72
Javonte Green,188,2.76,7.04,1.26,1.51,0.75,0.5,0.0,0.25,1.26
Isaiah Stewart,113,1.29,3.02,0.86,0.43,0.43,0.0,0.43,0.0,0.43
Jaden Ivey,84,5.43,11.96,4.35,1.09,1.63,2.72,0.0,0.54,0.54
Wendell Moore Jr.,34,4.48,11.94,1.49,2.99,0.0,1.49,0.0,0.0,2.99
Ausar Thompson,51,5.61,14.02,2.8,2.8,2.8,0.0,0.0,1.87,0.93
Ronald Holland II,200,2.8,6.99,1.4,1.4,1.17,0.23,0.0,0.7,0.7
Daniss Jenkins,161,10.34,25.0,6.03,4.31,4.02,2.01,0.0,1.44,2.87
Paul Reed,147,5.96,14.42,3.45,2.51,2.51,0.31,0.63,0.31,2.19
Bobi Klintman,25,1.85,3.7,1.85,0.0,0.0,1.85,0.0,0.0,0.0
Chaz Lanier,52,6.19,14.16,4.42,1.77,3.54,0.88,0.0,0.0,1.77
Tolu Smith,15,6.45,19.35,0.0,6.45,0.0,0.0,0.0,0.0,6.45
Marcus Sasser,17,10.0,20.0,10.0,0.0,2.5,5.0,2.5,0.0,0.0
Isaac Jones,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
