Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Caris LeVert,153,1.02,318,28.3,7.23,12.58,57.50%,3.14,8.49,37.04%,37.04%,4.4,5.66,8.81,4.72,4.72,39.13%,40.91%,50.00%,40.30%,0.51,56.72%,58.44%,0.63,0.94,7.50%,0.0,0.00%,24.33
Duncan Robinson,131,3.64,277,21.66,2.89,5.78,50.00%,4.69,11.91,39.39%,39.39%,1.81,4.33,1.44,14.08,0.0,75.00%,75.00%,100.00%,67.35%,0.54,56.12%,58.82%,0.0,0.72,12.50%,0.0,0.00%,16.72
Javonte Green,188,10.56,398,20.85,3.27,5.28,61.90%,3.02,7.04,42.86%,42.86%,5.28,5.03,1.51,9.05,0.0,76.92%,83.33%,100.00%,57.14%,0.56,63.27%,66.94%,0.5,0.0,0.00%,0.0,0.00%,15.69
Isaiah Stewart,113,-1.88,232,23.71,9.05,13.79,65.63%,0.86,4.31,20.00%,20.00%,3.02,12.07,6.03,2.59,0.0,66.67%,82.35%,100.00%,23.81%,0.53,57.14%,58.51%,3.45,0.86,6.25%,0.43,10.00%,21.03
Jaden Ivey,84,7.66,184,25.0,7.61,13.04,58.33%,2.72,8.7,31.25%,31.25%,1.63,7.61,7.61,6.52,1.63,50.00%,50.00%,80.00%,40.00%,0.52,53.75%,54.76%,0.0,0.54,4.17%,0.54,6.25%,21.72
Wendell Moore Jr.,34,32.81,67,5.97,2.99,4.48,66.67%,0.0,1.49,0.00%,0.00%,0.0,2.99,2.99,0.0,0.0,50.00%,50.00%,0.00%,25.00%,0.64,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,7.04
Ausar Thompson,51,21.2,107,20.56,7.48,14.02,53.33%,0.0,0.0,0.00%,0.00%,5.61,5.61,9.35,0.0,0.0,37.50%,37.50%,0.00%,0.00%,0.56,53.33%,55.00%,0.0,1.87,13.33%,0.0,0.00%,20.51
Ronald Holland II,200,10.49,429,19.35,6.06,12.82,47.27%,0.93,4.66,20.00%,20.00%,4.43,6.99,5.13,2.8,0.0,57.69%,60.00%,100.00%,26.67%,0.55,42.67%,49.40%,0.47,1.4,10.91%,0.0,0.00%,20.08
Daniss Jenkins,161,14.31,348,27.01,7.76,14.08,55.10%,2.87,6.61,43.48%,43.48%,2.87,4.02,11.49,8.62,0.0,25.93%,28.00%,100.00%,31.94%,0.5,58.33%,59.49%,1.15,1.72,12.24%,0.0,0.00%,23.38
Paul Reed,147,21.9,319,24.14,8.78,13.48,65.12%,1.25,2.82,44.44%,44.44%,2.82,13.17,4.39,3.76,0.0,75.00%,95.45%,100.00%,17.31%,0.56,65.38%,67.54%,3.76,0.94,6.98%,0.0,0.00%,19.62
Bobi Klintman,25,-18.01,54,18.52,3.7,7.41,50.00%,3.7,11.11,33.33%,33.33%,0.0,7.41,0.0,11.11,0.0,100.00%,100.00%,100.00%,60.00%,0.57,50.00%,50.00%,0.0,3.7,50.00%,0.0,0.00%,21.31
Chaz Lanier,52,11.04,113,12.39,0.0,0.0,0.00%,2.65,12.39,21.43%,21.43%,4.42,0.0,0.0,5.31,2.65,0.00%,0.00%,66.67%,100.00%,0.55,32.14%,43.75%,0.0,0.0,0.00%,0.0,0.00%,13.28
Tolu Smith,15,-41.94,31,12.9,6.45,9.68,66.67%,0.0,0.0,0.00%,0.00%,0.0,6.45,6.45,0.0,0.0,50.00%,50.00%,0.00%,0.00%,0.61,66.67%,66.67%,0.0,3.23,33.33%,0.0,0.00%,8.33
Marcus Sasser,17,11.07,40,7.5,0.0,5.0,0.00%,0.0,10.0,0.00%,0.00%,7.5,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,66.67%,0.52,0.00%,14.29%,0.0,0.0,0.00%,0.0,0.00%,18.37
Isaac Jones,1,-100.0,3,66.67,33.33,33.33,100.00%,0.0,33.33,0.00%,0.00%,0.0,66.67,0.0,0.0,0.0,100.00%,100.00%,0.00%,50.00%,0.54,50.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,66.67
