Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Duncan Robinson,358,2.23,4.12,0.0,0.00%,2.47,10.47%,1.65,7.55%,9.06%,0.4,0.0,0.00%,0.13,0.53%,0.27,1.28%,0.87%,11.54%,11.58%,4.00%,8.06%,5.71%,0.00%,1.09%,0.00%,0.92%,2.13%,1,1.89%
Javonte Green,316,3.12,4.3,0.15,4.35%,2.07,10.29%,2.07,8.81%,9.49%,1.93,0.0,0.00%,1.19,4.71%,0.74,4.03%,4.42%,16.22%,6.85%,11.54%,6.61%,15.79%,6.06%,3.41%,6.25%,4.30%,3.23%,1,2.27%
Isaiah Stewart,241,5.99,8.5,0.81,28.57%,3.44,14.17%,4.25,16.15%,15.20%,3.46,0.41,12.50%,2.44,10.71%,0.61,2.88%,6.94%,18.75%,13.33%,10.71%,17.48%,11.11%,12.20%,9.68%,11.11%,3.95%,0.00%,6,17.14%
Cade Cunningham,383,3.87,6.6,0.25,8.70%,3.55,16.67%,2.79,11.22%,13.74%,1.14,0.0,0.00%,1.01,3.98%,0.13,0.61%,2.47%,7.84%,20.00%,21.88%,10.53%,13.64%,1.16%,7.29%,0.00%,0.81%,0.00%,4,3.57%
Jaden Ivey,77,2.8,3.7,0.0,0.00%,2.47,12.90%,1.23,4.65%,8.11%,1.88,0.0,0.00%,0.0,0.00%,1.88,10.00%,4.41%,9.09%,21.43%,0.00%,6.67%,0.00%,0.00%,0.00%,0.00%,8.33%,16.67%,0,0.00%
Jalen Duren,288,9.22,12.37,1.53,47.37%,5.59,24.26%,5.25,22.30%,23.27%,6.08,0.0,0.00%,3.55,15.44%,2.53,12.82%,14.23%,5.88%,22.97%,50.00%,23.64%,17.24%,20.75%,11.59%,14.29%,12.35%,13.89%,3,13.64%
Marcus Sasser,27,0.79,1.56,0.0,0.00%,0.0,0.00%,1.56,10.00%,5.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Ausar Thompson,202,4.24,5.22,0.25,9.09%,1.49,6.32%,3.48,14.00%,10.26%,3.25,0.5,13.33%,2.5,11.49%,0.25,1.37%,6.88%,3.13%,8.89%,5.56%,14.10%,13.64%,15.00%,7.89%,11.11%,0.00%,4.35%,2,9.52%
Ronald Holland II,311,4.13,6.58,0.46,15.00%,2.45,11.35%,3.68,14.91%,13.25%,1.68,0.0,0.00%,1.07,4.07%,0.61,3.13%,3.67%,9.52%,13.04%,10.00%,14.40%,16.67%,4.48%,3.41%,5.88%,3.33%,2.63%,1,1.79%
Chaz Lanier,68,3.06,4.11,0.68,12.50%,0.0,0.00%,3.42,16.67%,8.62%,2.03,0.0,0.00%,0.68,2.63%,1.35,5.56%,4.05%,0.00%,0.00%,0.00%,18.52%,0.00%,0.00%,0.00%,20.00%,7.69%,0.00%,1,6.25%
Daniss Jenkins,204,3.13,4.43,0.23,7.69%,1.63,7.37%,2.56,12.09%,9.68%,1.84,0.0,0.00%,1.38,5.36%,0.46,2.44%,4.12%,9.52%,3.57%,16.67%,12.68%,10.00%,2.56%,6.67%,7.69%,1.72%,4.17%,1,2.70%
Paul Reed,131,8.9,10.56,0.7,22.22%,4.23,22.64%,5.63,27.59%,25.23%,7.27,0.0,0.00%,4.84,18.18%,2.42,12.50%,15.79%,33.33%,14.29%,25.00%,29.27%,23.53%,20.00%,14.71%,25.00%,13.33%,9.09%,1,6.67%
Wendell Moore Jr.,18,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Tolu Smith,5,11.11,22.22,0.0,0.00%,22.22,66.67%,0.0,0.00%,50.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Bobi Klintman,19,5.13,2.56,0.0,0.00%,0.0,0.00%,2.56,14.29%,7.14%,7.69,0.0,0.00%,2.56,5.88%,5.13,18.18%,10.71%,0.00%,0.00%,0.00%,20.00%,0.00%,12.50%,0.00%,0.00%,25.00%,0.00%,0,0.00%
Isaac Jones,1,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
