Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Caris LeVert,153,2.18,2.18,0.0,1.25,0.93,0.0,0.0,0.0,1.25,57.14%,1.87,3,3,0.0
Duncan Robinson,131,0.37,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0,0.00%,1.49,2,2,0.0
Javonte Green,188,1.01,1.01,0.0,0.5,0.5,0.0,0.0,0.0,0.5,50.00%,2.52,5,5,0.0
Isaiah Stewart,113,4.39,3.95,0.44,1.32,2.63,0.0,0.44,0.0,1.75,40.00%,0.44,0,1,0.44
Jaden Ivey,84,1.7,1.14,0.57,0.57,0.57,0.0,0.0,0.57,1.7,100.00%,1.7,1,2,0.0
Wendell Moore Jr.,34,1.52,1.52,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.00%,1.52,0,1,0.0
Ausar Thompson,51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.36,2,2,0.0
Ronald Holland II,200,0.93,0.93,0.0,0.23,0.23,0.47,0.0,0.0,0.7,75.00%,3.97,5,12,0.0
Daniss Jenkins,161,0.88,0.88,0.0,0.29,0.59,0.0,0.0,0.0,0.29,33.33%,1.77,1,5,0.0
Paul Reed,147,2.49,2.49,0.0,0.93,1.56,0.0,0.0,0.0,1.56,62.50%,4.36,10,4,0.31
Bobi Klintman,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Chaz Lanier,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.94,1,0,0.0
Tolu Smith,15,3.23,3.23,0.0,0.0,3.23,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Marcus Sasser,17,2.38,2.38,0.0,2.38,0.0,0.0,0.0,0.0,2.38,100.00%,2.38,1,0,0.0
Isaac Jones,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
