Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Caris LeVert,153,4.4,2.2,2.2,50.00%,0.63,0.31,1.57,1.26,0.31,0.0,0.0,0.0
Duncan Robinson,131,1.08,0.72,0.36,66.67%,0.36,0.0,0.36,0.0,0.0,0.0,0.0,0.0
Javonte Green,188,2.51,2.01,0.5,80.00%,0.25,0.0,1.76,0.5,0.0,0.0,0.0,0.0
Isaiah Stewart,113,4.31,1.72,2.59,40.00%,1.72,0.0,0.0,0.86,0.0,0.0,0.0,0.0
Jaden Ivey,84,3.26,1.63,1.63,50.00%,0.54,0.0,1.09,0.0,0.0,0.0,0.0,0.0
Wendell Moore Jr.,34,1.49,1.49,0.0,100.00%,0.0,0.0,1.49,0.0,0.0,0.0,0.0,0.0
Ausar Thompson,51,3.74,1.87,1.87,50.00%,0.93,0.93,0.93,0.0,0.0,0.0,0.0,0.0
Ronald Holland II,200,3.96,2.56,1.4,64.71%,1.4,0.23,1.17,0.0,0.23,0.0,0.23,0.0
Daniss Jenkins,161,4.31,2.87,1.44,66.67%,0.57,0.29,2.3,0.86,0.0,0.0,0.29,0.0
Paul Reed,147,4.7,1.57,3.13,33.33%,1.25,0.0,0.31,0.63,0.63,0.0,0.0,0.0
Bobi Klintman,25,5.56,5.56,0.0,100.00%,1.85,0.0,3.7,0.0,0.0,0.0,0.0,0.0
Chaz Lanier,52,0.88,0.0,0.88,0.00%,0.0,0.0,0.0,0.88,0.0,0.0,0.0,0.0
Tolu Smith,15,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Sasser,17,5.0,2.5,2.5,50.00%,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0
Isaac Jones,1,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
