Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Buddy Hield,472,3.92,10.15,1.61,2.31,1.31,0.1,0.2,0.8,1.51
Gary Payton II,292,6.39,16.64,2.52,3.87,1.34,1.01,0.17,0.84,3.03
De'Anthony Melton,113,5.22,13.48,2.17,3.04,0.87,1.3,0.0,1.3,1.74
Quinten Post,520,3.96,9.25,2.64,1.32,1.79,0.66,0.19,0.38,0.94
Jimmy Butler III,787,7.45,18.9,3.45,4.0,2.46,0.86,0.12,1.66,2.34
Draymond Green,615,9.35,22.86,5.18,4.16,3.53,1.26,0.39,1.02,3.14
Jonathan Kuminga,409,5.11,12.35,2.97,2.14,1.78,0.95,0.24,0.59,1.54
Pat Spencer,266,9.59,24.25,4.51,5.08,3.57,0.75,0.19,1.5,3.57
Al Horford,266,4.3,11.11,1.79,2.51,1.25,0.18,0.36,0.54,1.97
Moses Moody,639,3.3,8.55,1.35,1.95,0.75,0.52,0.07,0.52,1.42
Will Richard,409,2.59,6.36,1.41,1.18,1.18,0.24,0.0,0.35,0.82
Brandin Podziemski,778,5.57,14.35,2.35,3.22,1.61,0.62,0.12,1.11,2.1
Stephen Curry,634,6.43,15.57,3.73,2.7,2.56,1.17,0.0,1.02,1.68
Gui Santos,169,4.09,9.65,2.63,1.46,1.75,0.58,0.29,0.0,1.46
Trayce Jackson-Davis,204,4.04,10.45,1.66,2.38,0.95,0.0,0.71,0.71,1.66
