Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Buddy Hield,472,-4.13,995,19.9,3.62,6.13,59.02%,3.72,11.66,31.90%,31.90%,1.51,4.62,2.61,10.55,0.6,63.89%,67.65%,94.59%,65.54%,0.55,51.69%,53.57%,0.4,0.4,6.56%,0.4,3.45%,18.42
Gary Payton II,292,2.6,595,16.13,5.71,9.92,57.63%,1.34,4.87,27.59%,27.59%,0.67,9.08,2.35,4.03,0.0,79.41%,93.10%,100.00%,32.95%,0.6,52.27%,52.75%,1.68,0.67,6.78%,0.0,0.00%,15.97
De'Anthony Melton,113,4.58,230,13.04,3.04,8.7,35.00%,0.87,9.57,9.09%,9.09%,4.35,1.74,4.35,2.61,0.0,28.57%,28.57%,100.00%,52.38%,0.51,23.81%,31.25%,0.0,1.3,15.00%,0.0,0.00%,21.25
Quinten Post,520,10.55,1060,21.13,3.68,6.23,59.09%,4.15,12.55,33.08%,33.08%,1.32,5.09,2.26,12.45,0.0,69.23%,87.10%,100.00%,66.83%,0.55,52.76%,54.11%,1.51,0.28,4.55%,0.28,2.26%,18.59
Jimmy Butler III,787,7.73,1624,31.1,8.25,15.27,54.03%,1.42,3.14,45.10%,45.10%,10.34,8.5,8.0,2.77,1.48,51.49%,54.76%,65.22%,17.06%,0.54,56.35%,64.90%,0.99,1.23,8.06%,0.0,0.00%,22.82
Draymond Green,615,5.95,1273,14.38,2.99,5.66,52.78%,2.44,7.62,31.96%,31.96%,1.1,4.87,1.1,7.31,0.0,81.58%,83.78%,100.00%,57.40%,0.55,50.00%,50.83%,0.16,0.63,11.11%,0.08,1.03%,17.7
Jonathan Kuminga,409,-3.35,842,23.63,7.01,14.01,50.00%,1.66,5.23,31.82%,31.82%,4.63,6.65,7.36,4.63,0.36,47.46%,50.91%,92.86%,27.16%,0.54,49.38%,53.78%,0.95,1.43,10.17%,0.0,0.00%,23.8
Pat Spencer,266,5.05,532,19.92,5.45,13.16,41.43%,2.07,5.45,37.93%,37.93%,2.82,3.01,7.89,5.64,0.56,27.59%,30.77%,90.91%,29.29%,0.5,45.96%,49.53%,1.13,1.32,10.00%,0.0,0.00%,20.0
Al Horford,266,-8.47,558,12.72,1.25,3.76,33.33%,3.05,10.04,30.36%,30.36%,1.08,2.15,0.36,9.14,0.0,85.71%,85.71%,100.00%,72.73%,0.53,42.21%,44.38%,0.0,0.54,14.29%,0.0,0.00%,15.15
Moses Moody,639,5.95,1334,21.66,2.55,5.4,47.22%,4.57,11.62,39.35%,39.35%,2.85,3.3,1.8,13.49,0.22,64.71%,73.33%,98.36%,68.28%,0.54,55.29%,58.78%,0.6,0.52,9.72%,0.07,0.65%,17.57
Will Richard,409,-0.25,849,19.43,3.89,5.06,76.74%,3.06,7.3,41.94%,41.94%,2.47,5.18,2.59,8.48,0.71,66.67%,95.65%,92.31%,59.05%,0.56,68.57%,70.51%,2.36,0.35,6.98%,0.0,0.00%,13.33
Brandin Podziemski,778,3.78,1617,21.09,4.27,8.41,50.74%,3.34,8.29,40.30%,40.30%,2.54,5.44,3.09,7.98,2.04,63.77%,63.77%,79.63%,49.63%,0.52,55.56%,57.41%,0.0,0.37,4.41%,0.0,0.00%,18.23
Stephen Curry,634,3.74,1368,42.32,6.51,11.04,58.94%,7.31,18.13,40.32%,40.32%,7.38,5.85,7.16,15.79,6.14,44.94%,44.94%,72.00%,62.16%,0.52,59.90%,64.93%,0.0,0.58,5.30%,0.22,1.21%,32.73
Gui Santos,169,-2.53,342,17.54,2.92,4.97,58.82%,2.92,8.48,34.48%,34.48%,2.92,5.26,0.58,8.77,0.0,90.00%,100.00%,100.00%,63.04%,0.56,54.35%,56.60%,0.58,0.29,5.88%,0.0,0.00%,16.83
Trayce Jackson-Davis,204,-2.45,421,17.1,6.89,10.93,63.04%,0.0,0.0,0.00%,0.00%,3.33,10.45,3.33,0.0,0.0,75.86%,100.00%,0.00%,0.00%,0.59,63.04%,66.67%,3.33,1.66,15.22%,0.0,0.00%,12.52
