Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Buddy Hield,506,3.43,5.09,0.75,33.33%,2.83,11.11%,1.51,6.99%,9.22%,1.78,0.0,0.00%,0.47,2.33%,1.31,4.52%,3.62%,8.91%,13.74%,7.89%,6.21%,9.62%,1.32%,1.92%,5.71%,4.70%,3.95%,1,0.98%
Gary Payton II,382,6.15,7.69,0.12,8.33%,3.85,14.81%,3.73,16.32%,15.52%,4.49,0.0,0.00%,1.8,8.97%,2.7,9.46%,9.26%,8.00%,17.21%,26.32%,14.94%,22.22%,10.14%,6.25%,13.04%,9.83%,8.16%,2,3.77%
De'Anthony Melton,233,3.16,4.59,0.21,7.69%,2.92,11.57%,1.46,7.14%,9.59%,1.71,0.0,0.00%,1.07,5.15%,0.64,2.61%,3.77%,15.15%,9.46%,14.29%,6.17%,11.76%,0.00%,9.62%,0.00%,3.80%,0.00%,3,5.56%
Quinten Post,623,5.43,8.28,0.47,23.08%,3.36,12.68%,4.45,18.10%,15.29%,2.58,0.08,6.25%,1.17,5.81%,1.33,4.53%,5.06%,11.71%,13.30%,12.50%,16.74%,22.37%,5.68%,6.47%,3.23%,3.77%,6.36%,5,3.85%
Jimmy Butler III,985,4.2,4.96,0.24,13.51%,2.28,10.02%,2.43,10.16%,10.09%,3.44,0.0,0.00%,2.31,11.66%,1.13,4.24%,7.40%,9.79%,9.41%,12.68%,9.89%,11.02%,13.57%,12.11%,6.85%,3.66%,5.63%,20,13.07%
Draymond Green,771,5.37,9.19,0.86,41.18%,4.56,19.27%,3.76,15.44%,17.33%,1.5,0.0,0.00%,0.69,3.89%,0.81,2.88%,3.27%,24.04%,18.01%,15.94%,15.54%,15.15%,5.88%,2.52%,2.22%,2.48%,3.91%,6,5.45%
Jonathan Kuminga,409,6.01,9.13,0.59,38.46%,4.1,17.59%,4.45,19.10%,18.34%,2.85,0.0,0.00%,0.95,4.91%,1.9,6.90%,6.08%,22.00%,14.91%,20.00%,18.18%,22.22%,5.17%,5.48%,3.13%,7.53%,4.35%,2,2.63%
Pat Spencer,295,3.45,5.18,0.0,0.00%,2.84,9.94%,2.34,10.37%,10.13%,1.7,0.0,0.00%,0.68,2.94%,1.02,3.64%,3.32%,9.23%,7.87%,23.53%,11.88%,5.88%,4.88%,2.44%,0.00%,3.45%,4.08%,1,1.67%
Al Horford,331,5.31,8.73,0.29,20.00%,4.72,20.89%,3.72,17.69%,19.34%,1.87,0.0,0.00%,1.01,5.07%,0.86,2.96%,3.81%,18.87%,25.93%,8.33%,15.13%,28.57%,3.92%,3.13%,13.04%,3.36%,1.85%,2,3.03%
Moses Moody,791,3.22,4.67,0.3,13.51%,2.46,9.07%,1.92,8.63%,8.87%,1.75,0.0,0.00%,0.6,3.04%,1.15,3.93%,3.57%,5.97%,11.02%,7.81%,7.04%,13.79%,5.08%,2.44%,0.00%,3.74%,4.41%,2,1.33%
Will Richard,544,3.54,4.51,0.35,20.00%,1.73,7.12%,2.43,11.07%,8.99%,2.56,0.09,3.45%,1.24,5.98%,1.24,4.23%,4.96%,6.45%,8.39%,4.44%,10.88%,11.67%,4.49%,5.26%,12.90%,4.15%,4.44%,0,0.00%
