Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Buddy Hield,506,0.28,0.28,0.0,0.09,0.19,0.0,0.0,0.0,0.19,66.67%,2.17,15,8,0.0
Gary Payton II,382,1.56,1.44,0.12,1.08,0.36,0.0,0.12,0.0,0.6,38.46%,1.92,7,9,0.36
De'Anthony Melton,233,1.46,1.25,0.21,0.21,0.84,0.21,0.0,0.21,1.04,71.43%,4.38,10,11,0.0
Quinten Post,623,1.33,1.33,0.0,0.55,0.78,0.0,0.0,0.0,0.86,64.71%,1.56,3,17,0.0
Jimmy Butler III,985,0.39,0.39,0.0,0.1,0.24,0.05,0.0,0.0,0.34,87.50%,2.33,12,36,0.0
Draymond Green,771,1.36,1.11,0.25,0.12,0.99,0.0,0.12,0.12,1.11,81.82%,1.6,4,22,0.0
Jonathan Kuminga,409,0.7,0.7,0.0,0.47,0.23,0.0,0.0,0.0,0.35,50.00%,0.59,1,4,0.12
Pat Spencer,295,0.17,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.00%,2.17,6,7,0.0
Al Horford,331,2.43,2.29,0.14,1.29,1.0,0.0,0.0,0.14,1.0,41.18%,2.15,1,14,0.29
Moses Moody,791,1.38,1.14,0.24,0.3,0.72,0.12,0.12,0.12,0.9,65.22%,1.86,15,16,0.0
Will Richard,544,0.17,0.17,0.0,0.17,0.0,0.0,0.0,0.0,0.17,100.00%,2.52,18,11,0.0
Brandin Podziemski,949,0.3,0.3,0.0,0.05,0.25,0.0,0.0,0.0,0.25,83.33%,1.72,12,22,0.0
Stephen Curry,836,0.62,0.45,0.17,0.11,0.34,0.0,0.0,0.17,0.39,63.64%,1.85,13,20,0.0
Gui Santos,240,0.81,0.81,0.0,0.2,0.41,0.2,0.0,0.0,0.61,75.00%,1.22,2,4,0.41
Trayce Jackson-Davis,275,2.6,2.6,0.0,1.21,1.38,0.0,0.0,0.0,2.08,80.00%,1.38,4,4,0.17
