Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Buddy Hield,506,2.72,1.41,1.31,51.72%,0.47,0.28,0.94,0.47,0.0,0.0,0.28,0.0
Gary Payton II,382,3.34,1.16,2.18,34.62%,0.26,0.0,0.9,0.9,0.0,0.0,0.0,0.0
De'Anthony Melton,233,3.62,2.56,1.07,70.59%,0.85,0.0,1.71,0.64,0.21,0.0,0.0,0.0
Quinten Post,623,2.11,1.09,1.02,51.85%,0.55,0.08,0.55,0.39,0.16,0.0,0.0,0.0
Jimmy Butler III,985,2.46,1.62,0.84,66.00%,0.39,0.15,1.23,0.15,0.0,0.0,0.05,0.0
Draymond Green,771,5.32,3.44,1.88,64.71%,0.44,0.25,3.0,0.69,0.06,0.0,0.0,0.0
Jonathan Kuminga,409,4.63,2.61,2.02,56.41%,1.19,0.59,1.43,0.59,0.59,0.0,0.12,0.0
Pat Spencer,295,3.57,2.72,0.85,76.19%,1.19,0.17,1.53,0.51,0.0,0.0,0.0,0.0
Al Horford,331,2.31,1.01,1.3,43.75%,0.29,0.0,0.72,0.43,0.14,0.0,0.0,0.0
Moses Moody,791,1.87,1.21,0.66,64.52%,0.42,0.0,0.79,0.36,0.06,0.0,0.06,0.0
Will Richard,544,2.03,1.06,0.97,52.17%,0.44,0.09,0.62,0.44,0.18,0.0,0.09,0.09
Brandin Podziemski,949,2.28,1.17,1.12,51.11%,0.41,0.2,0.76,0.41,0.2,0.0,0.05,0.0
Stephen Curry,836,4.54,2.64,1.91,58.02%,1.18,0.39,1.46,0.56,0.06,0.0,0.34,0.0
Gui Santos,240,3.94,1.87,2.07,47.37%,0.0,0.0,1.87,0.83,0.21,0.0,0.0,0.21
Trayce Jackson-Davis,275,1.79,0.54,1.25,30.00%,0.18,0.0,0.36,0.18,0.18,0.0,0.18,0.0
