Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Dorian Finney-Smith,63,1.52,3.79,0.76,0.76,0.0,0.0,0.76,0.76,0.0
Aaron Holiday,165,1.78,4.73,0.59,1.18,0.59,0.0,0.0,0.3,0.89
Jabari Smith Jr.,389,3.58,9.32,1.4,2.17,0.77,0.26,0.38,0.77,1.4
Amen Thompson,368,7.12,18.95,2.42,4.7,1.21,0.67,0.54,0.94,3.76
Kevin Durant,419,5.69,13.24,3.83,1.86,2.67,1.16,0.0,1.05,0.81
Steven Adams,268,4.35,9.6,3.44,0.91,1.81,0.91,0.72,0.0,0.91
Josh Okogie,197,2.51,6.02,1.5,1.0,1.0,0.5,0.0,0.0,1.0
Tari Eason,200,3.44,8.11,2.21,1.23,1.72,0.49,0.0,0.25,0.98
Reed Sheppard,321,6.85,16.67,3.87,2.98,2.53,1.04,0.3,1.49,1.49
Clint Capela,184,2.93,7.47,1.33,1.6,0.8,0.27,0.27,0.27,1.33
Jae'Sean Tate,72,4.61,11.18,2.63,1.97,1.97,0.0,0.66,1.32,0.66
JD Davison,28,10.71,25.0,7.14,3.57,1.79,5.36,0.0,0.0,3.57
Isaiah Crawford,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Green,16,2.94,5.88,2.94,0.0,0.0,2.94,0.0,0.0,0.0
