Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Dorian Finney-Smith,63,11.07,132,9.09,0.0,0.76,0.00%,3.03,9.09,33.33%,33.33%,0.0,0.0,0.0,9.09,0.0,0.00%,0.00%,100.00%,92.31%,0.52,46.15%,46.15%,0.0,0.0,0.00%,0.0,0.00%,10.97
Aaron Holiday,165,4.84,338,18.93,3.25,6.21,52.38%,2.96,9.17,32.26%,32.26%,3.55,1.78,4.73,7.99,0.89,27.27%,27.27%,90.00%,59.62%,0.52,50.00%,56.14%,0.0,0.3,4.76%,0.0,0.00%,16.87
Jabari Smith Jr.,389,14.85,783,23.75,5.24,10.22,51.25%,3.32,8.81,37.68%,37.68%,3.32,4.85,5.62,9.2,0.77,46.34%,54.29%,92.31%,46.31%,0.52,53.69%,57.41%,1.53,1.15,11.25%,0.0,0.00%,18.51
Amen Thompson,368,11.09,744,25.67,9.27,17.74,52.27%,0.54,2.69,20.00%,20.00%,5.51,7.8,10.75,1.61,0.0,42.03%,43.94%,100.00%,13.16%,0.53,49.34%,55.20%,0.81,1.08,6.06%,0.0,0.00%,22.88
Kevin Durant,419,14.13,861,41.93,12.08,21.6,55.91%,3.25,8.48,38.36%,38.36%,8.01,7.2,16.96,6.62,3.14,29.81%,30.10%,67.86%,28.19%,0.47,56.37%,61.68%,0.23,0.46,2.15%,0.0,0.00%,31.13
Steven Adams,268,25.71,552,15.04,5.62,10.87,51.67%,0.0,0.0,0.00%,0.00%,3.8,5.8,5.43,0.0,0.0,51.61%,88.89%,0.00%,0.00%,0.6,51.67%,52.53%,4.71,0.54,5.00%,0.0,0.00%,13.96
Josh Okogie,197,14.2,399,15.29,2.76,5.26,52.38%,2.76,6.02,45.83%,45.83%,1.5,4.01,1.5,8.27,0.0,72.73%,88.89%,100.00%,53.33%,0.57,61.11%,63.54%,1.0,1.0,19.05%,0.25,4.17%,12.73
Tari Eason,200,10.62,407,25.31,5.16,11.3,45.65%,4.18,8.85,47.22%,47.22%,2.46,2.95,7.37,12.53,0.0,28.57%,37.50%,100.00%,43.90%,0.53,56.71%,57.87%,2.46,0.98,8.70%,0.25,2.78%,20.64
Reed Sheppard,321,13.65,672,25.15,4.91,9.23,53.23%,4.61,10.42,44.29%,44.29%,1.49,3.27,6.55,10.71,3.13,33.33%,33.33%,77.42%,53.03%,0.52,60.23%,62.13%,0.0,0.3,3.23%,0.15,1.43%,20.13
Clint Capela,184,4.83,375,13.07,5.6,13.6,41.18%,0.0,0.0,0.00%,0.00%,1.87,5.33,5.87,0.0,0.0,47.62%,83.33%,0.00%,0.00%,0.57,41.18%,42.98%,4.8,1.87,13.73%,0.0,0.00%,13.73
Jae'Sean Tate,72,-23.14,152,13.82,4.61,7.89,58.33%,1.32,5.26,25.00%,25.00%,0.66,5.26,3.95,3.95,0.0,57.14%,66.67%,100.00%,40.00%,0.53,50.00%,52.50%,1.32,0.66,8.33%,0.0,0.00%,11.67
JD Davison,28,-15.63,56,19.64,1.79,1.79,100.00%,3.57,7.14,50.00%,50.00%,5.36,0.0,3.57,10.71,0.0,0.00%,0.00%,100.00%,80.00%,0.52,80.00%,78.57%,0.0,0.0,0.00%,0.0,0.00%,14.52
Isaiah Crawford,3,80.0,5,0.0,0.0,0.0,0.00%,0.0,20.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,100.00%,0.56,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,16.67
Jeff Green,16,-30.66,34,29.41,5.88,5.88,100.00%,5.88,11.76,50.00%,50.00%,0.0,11.76,0.0,17.65,0.0,100.00%,100.00%,100.00%,66.67%,0.5,83.33%,83.33%,0.0,0.0,0.00%,0.0,0.00%,18.92
