Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Dorian Finney-Smith,63,5.06,6.4,0.0,0.00%,4.0,15.15%,2.4,11.54%,13.56%,3.79,0.76,16.67%,0.0,0.00%,3.03,12.90%,6.67%,20.00%,16.67%,0.00%,13.64%,0.00%,0.00%,0.00%,0.00%,15.38%,0.00%,0,0.00%
Aaron Holiday,165,1.17,2.04,0.0,0.00%,1.17,5.13%,0.87,4.29%,4.73%,0.3,0.0,0.00%,0.3,1.16%,0.0,0.00%,0.59%,11.11%,4.17%,0.00%,3.70%,6.25%,4.35%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Jabari Smith Jr.,389,5.42,8.65,0.64,41.67%,4.83,19.90%,3.18,14.20%,17.17%,2.17,0.0,0.00%,1.02,3.40%,1.15,6.08%,4.44%,14.55%,18.75%,30.00%,13.87%,15.38%,5.48%,0.85%,6.67%,7.27%,2.63%,1,1.39%
Amen Thompson,368,5.21,6.51,0.27,15.38%,3.19,13.41%,3.05,12.37%,12.88%,3.9,0.13,3.85%,2.15,7.27%,1.61,7.74%,7.47%,6.52%,13.98%,20.00%,12.24%,12.82%,12.12%,3.64%,9.09%,6.90%,10.26%,3,4.35%
Kevin Durant,419,4.07,7.58,0.23,13.33%,3.38,14.22%,3.97,16.19%,15.22%,0.58,0.0,0.00%,0.46,1.63%,0.12,0.63%,1.23%,12.31%,16.67%,11.63%,16.67%,14.29%,2.67%,0.86%,1.82%,0.88%,0.00%,1,0.82%
Steven Adams,268,8.85,8.64,0.0,0.00%,4.41,17.78%,4.23,14.84%,16.21%,9.06,0.18,4.55%,6.16,22.37%,2.72,18.99%,21.21%,11.43%,22.39%,15.15%,16.13%,9.68%,21.95%,23.68%,20.00%,23.33%,5.26%,5,19.23%
Josh Okogie,197,4.7,5.61,0.24,16.67%,3.17,12.50%,2.2,9.47%,11.06%,3.76,0.75,27.27%,1.75,5.83%,1.25,7.35%,6.38%,10.34%,13.79%,11.76%,11.11%,4.35%,5.88%,5.36%,6.67%,4.76%,11.54%,1,5.56%
Tari Eason,200,6.25,8.07,1.22,45.45%,3.18,14.61%,3.67,16.13%,15.38%,4.42,0.49,13.33%,2.46,7.94%,1.47,7.79%,7.88%,20.00%,7.50%,21.05%,14.47%,23.53%,3.13%,8.82%,11.54%,5.56%,13.04%,6,15.79%
Reed Sheppard,321,3.17,5.65,0.0,0.00%,2.6,9.83%,3.05,12.74%,11.21%,0.74,0.0,0.00%,0.15,0.52%,0.6,3.28%,1.59%,10.71%,12.50%,2.70%,10.83%,18.92%,0.00%,0.00%,2.33%,4.30%,0.00%,0,0.00%
Clint Capela,184,10.72,8.84,0.28,14.29%,4.7,17.71%,3.87,18.92%,18.24%,12.53,0.0,0.00%,9.07,26.15%,3.47,16.88%,22.71%,7.14%,20.41%,26.32%,21.82%,10.53%,30.00%,21.88%,30.77%,12.96%,26.09%,6,26.09%
Jae'Sean Tate,72,3.63,4.64,0.0,0.00%,3.97,18.18%,0.66,3.33%,11.11%,2.63,0.0,0.00%,1.32,5.00%,1.32,5.26%,5.13%,33.33%,6.25%,20.00%,0.00%,14.29%,0.00%,7.69%,0.00%,7.69%,0.00%,0,0.00%
JD Davison,28,2.65,3.51,0.0,0.00%,0.0,0.00%,3.51,18.18%,8.70%,1.79,0.0,0.00%,1.79,10.00%,0.0,0.00%,4.17%,0.00%,0.00%,0.00%,14.29%,25.00%,0.00%,16.67%,0.00%,0.00%,0.00%,0,0.00%
Isaiah Crawford,3,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Jeff Green,16,2.99,3.03,0.0,0.00%,3.03,14.29%,0.0,0.00%,7.14%,2.94,0.0,0.00%,0.0,0.00%,2.94,14.29%,10.00%,0.00%,20.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,25.00%,0.00%,0,0.00%
