Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Dorian Finney-Smith,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.82,1,0,0.0
Josh Okogie,470,0.54,0.43,0.11,0.32,0.11,0.0,0.0,0.11,0.32,60.00%,2.47,13,10,0.0
Jabari Smith Jr.,755,0.86,0.8,0.07,0.33,0.33,0.13,0.0,0.07,0.53,61.54%,1.13,5,12,0.0
Amen Thompson,784,0.64,0.64,0.0,0.32,0.32,0.0,0.0,0.0,0.26,40.00%,1.79,6,22,0.0
Kevin Durant,719,1.48,1.34,0.14,0.63,0.7,0.0,0.07,0.07,0.98,66.67%,1.12,6,10,0.0
Reed Sheppard,506,1.49,1.19,0.3,0.2,0.8,0.2,0.0,0.3,0.7,46.67%,2.79,15,13,0.0
Steven Adams,365,0.83,0.69,0.14,0.28,0.42,0.0,0.14,0.0,0.56,66.67%,1.94,4,10,0.0
Clint Capela,164,3.77,3.77,0.0,1.89,1.89,0.0,0.0,0.0,3.14,83.33%,2.52,4,4,0.31
Alperen Sengun,675,1.44,1.44,0.0,0.53,0.83,0.08,0.0,0.0,0.76,52.63%,2.34,13,18,0.08
Aaron Holiday,274,0.18,0.18,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.00%,1.41,4,4,0.0
Jae'Sean Tate,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.85,2,1,0.0
JD Davison,43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.53,0,3,0.0
Isaiah Crawford,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Jeff Green,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
