Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Dorian Finney-Smith,27,1.64,1.64,0.0,100.00%,1.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Okogie,470,2.05,1.4,0.65,68.42%,0.54,0.32,0.86,0.22,0.11,0.0,0.0,0.0
Jabari Smith Jr.,755,2.02,1.11,0.91,54.84%,0.59,0.33,0.52,0.13,0.07,0.0,0.13,0.0
Amen Thompson,784,3.52,2.26,1.26,64.29%,1.07,0.25,1.19,0.5,0.13,0.0,0.0,0.0
Kevin Durant,719,4.29,3.06,1.23,71.43%,1.23,0.48,1.84,0.2,0.07,0.0,0.0,0.0
Reed Sheppard,506,2.49,2.1,0.38,84.62%,0.76,0.1,1.34,0.1,0.0,0.0,0.1,0.0
Steven Adams,365,2.58,1.22,1.36,47.37%,0.41,0.14,0.81,0.27,0.14,0.0,0.0,0.0
Clint Capela,164,2.42,1.21,1.21,50.00%,0.0,0.0,1.21,0.6,0.3,0.0,0.0,0.0
Alperen Sengun,675,4.86,3.02,1.84,62.12%,1.1,0.37,1.91,0.44,0.0,0.0,0.15,0.07
Aaron Holiday,274,2.78,1.56,1.22,56.25%,0.35,0.17,1.22,0.17,0.0,0.0,0.52,0.0
Jae'Sean Tate,76,0.62,0.0,0.62,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JD Davison,43,2.44,1.22,1.22,50.00%,0.0,0.0,1.22,0.0,1.22,0.0,0.0,0.0
Isaiah Crawford,3,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Green,16,2.94,2.94,0.0,100.00%,0.0,0.0,2.94,0.0,0.0,0.0,0.0,0.0
