Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Pascal Siakam,234,6.5,16.54,2.95,3.54,1.97,0.39,0.59,0.2,3.35
Tony Bradley,135,1.81,3.99,1.45,0.36,0.72,0.72,0.0,0.36,0.0
Monté Morris,33,4.55,9.09,4.55,0.0,1.52,3.03,0.0,0.0,0.0
Aaron Nesmith,161,2.59,6.34,1.44,1.15,0.29,1.15,0.0,0.58,0.58
Jarace Walker,246,4.95,12.38,2.48,2.48,2.1,0.19,0.19,0.57,1.9
Cody Martin,23,2.17,6.52,0.0,2.17,0.0,0.0,0.0,0.0,2.17
Taelon Peter,60,7.38,18.03,4.1,3.28,2.46,1.64,0.0,0.0,3.28
Garrison Mathews,53,2.7,5.41,2.7,0.0,1.8,0.0,0.9,0.0,0.0
Jeremiah Robinson-Earl,80,2.38,5.36,1.79,0.6,1.19,0.6,0.0,0.0,0.6
Ben Sheppard,167,3.6,9.14,1.66,1.94,1.11,0.55,0.0,0.83,1.11
Ethan Thompson,53,5.77,14.42,2.88,2.88,1.92,0.96,0.0,0.0,2.88
T.J. McConnell,145,13.88,35.65,5.99,7.89,3.79,1.89,0.32,3.15,4.73
Obi Toppin,33,1.43,2.86,1.43,0.0,0.0,1.43,0.0,0.0,0.0
Jay Huff,183,3.02,6.78,2.26,0.75,0.75,0.75,0.75,0.25,0.5
Mac McClung,16,2.86,5.71,2.86,0.0,0.0,0.0,2.86,0.0,0.0
Quenton Jackson,61,4.55,12.12,1.52,3.03,1.52,0.0,0.0,0.76,2.27
Johnny Furphy,75,1.31,2.61,1.31,0.0,0.0,0.65,0.65,0.0,0.0
RayJ Dennis,109,6.96,16.52,4.35,2.61,3.04,0.87,0.43,0.43,2.17
James Wiseman,21,2.63,7.89,0.0,2.63,0.0,0.0,0.0,0.0,2.63
Micah Potter,38,7.32,17.07,4.88,2.44,3.66,1.22,0.0,0.0,2.44
Kam Jones,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
