Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Pascal Siakam,514,-8.42,1051,31.11,9.61,19.79,48.56%,2.09,7.04,29.73%,29.73%,5.61,7.99,11.23,4.85,1.43,41.58%,45.65%,77.27%,26.24%,0.5,47.52%,50.78%,1.71,1.05,5.29%,0.0,0.00%,29.1
Tony Bradley,213,-12.92,432,19.21,7.87,13.43,58.62%,0.0,0.0,0.00%,0.00%,3.47,11.57,4.17,0.0,0.0,73.53%,92.59%,0.00%,0.00%,0.56,58.62%,61.94%,3.24,0.93,6.90%,0.0,0.00%,14.29
Monté Morris,36,-17.68,74,13.51,4.05,9.46,42.86%,1.35,5.41,25.00%,25.00%,1.35,2.7,5.41,4.05,0.0,33.33%,33.33%,100.00%,36.36%,0.59,40.91%,41.67%,0.0,0.0,0.00%,0.0,0.00%,13.98
Aaron Nesmith,179,-9.62,366,23.5,3.83,10.38,36.84%,3.55,10.93,32.50%,32.50%,5.19,6.56,1.09,10.66,0.0,85.71%,85.71%,100.00%,51.28%,0.52,42.95%,48.86%,0.0,1.37,13.16%,0.27,2.50%,21.41
Jarace Walker,308,-18.73,648,18.98,3.24,7.72,42.00%,2.93,9.88,29.69%,29.69%,3.7,3.7,2.78,7.87,0.93,57.14%,66.67%,89.47%,56.14%,0.53,43.42%,49.20%,0.93,0.15,2.00%,0.0,0.00%,19.24
Cody Martin,32,-12.7,65,7.69,3.08,6.15,50.00%,0.0,6.15,0.00%,0.00%,1.54,3.08,3.08,0.0,0.0,50.00%,50.00%,0.00%,50.00%,0.51,25.00%,27.78%,0.0,1.54,25.00%,0.0,0.00%,14.47
Taelon Peter,63,0.07,127,7.87,0.0,0.79,0.00%,2.36,7.09,33.33%,33.33%,0.79,0.0,0.0,4.72,2.36,0.00%,0.00%,66.67%,90.00%,0.54,45.00%,45.45%,0.0,0.0,0.00%,0.0,0.00%,9.66
Andrew Nembhard,407,-15.01,834,27.34,6.47,13.67,47.37%,2.88,7.91,36.36%,36.36%,5.76,3.84,9.11,6.47,2.16,29.63%,30.77%,75.00%,36.67%,0.51,50.00%,55.07%,0.48,1.32,9.65%,0.12,1.52%,25.94
Jeremiah Robinson-Earl,151,-6.46,314,11.78,2.55,8.28,30.77%,1.27,3.82,33.33%,33.33%,2.87,3.18,1.91,3.82,0.0,62.50%,83.33%,100.00%,31.58%,0.55,36.84%,44.05%,1.27,1.27,15.38%,0.0,0.00%,12.43
Bennedict Mathurin,360,-13.39,737,24.83,5.29,10.58,50.00%,2.58,8.01,32.20%,32.20%,6.51,5.43,5.16,5.29,2.44,51.28%,58.82%,68.42%,43.07%,0.52,49.27%,56.52%,1.36,0.41,3.85%,0.0,0.00%,22.06
