Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Pascal Siakam,234,4.21,7.02,0.78,33.33%,3.51,16.22%,2.73,11.76%,13.91%,1.38,0.0,0.00%,0.59,2.54%,0.79,2.96%,2.77%,19.51%,15.09%,11.76%,10.99%,14.29%,2.86%,2.90%,0.00%,2.86%,3.33%,2,3.13%
Tony Bradley,135,7.91,6.43,0.71,28.57%,1.43,7.27%,4.29,16.22%,12.40%,9.42,0.0,0.00%,7.25,21.51%,2.17,7.89%,15.38%,0.00%,10.81%,0.00%,9.26%,35.00%,24.32%,20.45%,16.67%,5.08%,17.65%,3,25.00%
Monté Morris,33,2.13,4.0,0.0,0.00%,1.33,4.55%,2.67,11.76%,7.69%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,50.00%,9.09%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Aaron Nesmith,161,4.77,6.09,0.0,0.00%,3.19,13.75%,2.9,14.71%,14.19%,3.46,0.29,5.88%,1.15,4.04%,2.02,8.14%,5.95%,11.11%,12.20%,25.00%,14.58%,15.00%,2.56%,6.38%,0.00%,8.82%,5.56%,4,9.76%
Jarace Walker,246,4.31,7.93,0.55,27.27%,2.77,12.40%,4.61,20.66%,16.53%,0.57,0.19,4.76%,0.0,0.00%,0.38,1.46%,0.76%,8.33%,12.50%,23.53%,22.73%,15.15%,0.00%,0.00%,0.00%,1.83%,0.00%,0,0.00%
Cody Martin,23,8.0,12.96,0.0,0.00%,0.0,0.00%,12.96,33.33%,18.92%,2.17,0.0,0.00%,2.17,5.88%,0.0,0.00%,3.45%,0.00%,0.00%,0.00%,43.75%,0.00%,14.29%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Taelon Peter,60,2.69,3.62,0.0,0.00%,3.62,19.23%,0.0,0.00%,8.06%,1.64,0.0,0.00%,0.0,0.00%,1.64,6.45%,3.45%,11.11%,21.43%,33.33%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,0.00%,0,0.00%
Garrison Mathews,53,2.6,5.0,0.0,0.00%,2.5,11.11%,2.5,13.04%,12.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,14.29%,0.00%,28.57%,15.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Jeremiah Robinson-Earl,80,8.5,10.4,0.58,50.00%,5.78,24.39%,4.05,17.07%,20.73%,6.55,1.19,50.00%,2.38,7.02%,2.98,12.20%,9.18%,18.18%,22.22%,66.67%,21.21%,0.00%,11.11%,4.35%,0.00%,11.43%,16.67%,1,6.25%
Ben Sheppard,167,4.33,7.32,0.28,12.50%,3.66,16.25%,3.38,14.12%,15.15%,1.39,0.0,0.00%,0.28,1.15%,1.11,4.08%,2.70%,12.50%,18.42%,16.67%,15.63%,9.52%,2.63%,0.00%,0.00%,3.70%,5.88%,1,2.94%
Ethan Thompson,53,0.91,1.72,0.0,0.00%,0.86,5.26%,0.86,4.17%,4.65%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,16.67%,0.00%,0.00%,4.55%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
T.J. McConnell,145,3.46,5.03,0.0,0.00%,1.89,8.70%,3.14,14.93%,11.76%,1.89,0.0,0.00%,0.32,1.43%,1.58,7.04%,4.26%,8.33%,12.50%,0.00%,14.55%,16.67%,0.00%,2.56%,0.00%,5.88%,10.00%,0,0.00%
Obi Toppin,33,7.75,11.11,0.0,0.00%,6.94,20.00%,4.17,14.29%,17.39%,4.29,0.0,0.00%,2.86,14.29%,1.43,5.00%,8.82%,25.00%,16.67%,0.00%,7.14%,28.57%,12.50%,16.67%,0.00%,5.56%,0.00%,1,16.67%
Jay Huff,183,3.74,5.45,0.74,30.00%,2.23,8.91%,2.48,11.11%,9.95%,2.01,0.0,0.00%,1.51,6.52%,0.5,1.83%,3.98%,2.56%,16.28%,5.26%,10.00%,15.00%,11.76%,0.00%,14.29%,2.22%,0.00%,0,0.00%
Mac McClung,16,2.86,5.71,0.0,0.00%,0.0,0.00%,5.71,50.00%,16.67%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,50.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Quenton Jackson,61,2.57,3.57,0.0,0.00%,2.14,11.11%,1.43,6.25%,8.47%,1.52,0.0,0.00%,1.52,8.00%,0.0,0.00%,3.39%,15.38%,9.09%,0.00%,10.00%,0.00%,0.00%,15.38%,0.00%,0.00%,0.00%,0,0.00%
Johnny Furphy,75,4.05,5.36,1.19,40.00%,1.79,9.68%,2.38,11.43%,10.61%,2.61,0.0,0.00%,1.31,6.06%,1.31,6.06%,6.06%,0.00%,7.14%,28.57%,10.00%,20.00%,10.00%,6.67%,0.00%,4.55%,9.09%,1,12.50%
RayJ Dennis,109,3.01,2.98,0.0,0.00%,2.13,9.26%,0.85,3.70%,6.48%,3.04,0.0,0.00%,1.3,4.69%,1.74,5.26%,5.00%,16.67%,7.41%,0.00%,2.86%,5.26%,0.00%,6.25%,12.50%,4.69%,8.33%,2,6.06%
James Wiseman,21,2.35,4.26,0.0,0.00%,4.26,14.29%,0.0,0.00%,8.70%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,20.00%,16.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Micah Potter,38,4.12,6.82,2.27,66.67%,2.27,13.33%,2.27,11.76%,12.50%,1.22,1.22,100.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,25.00%,0.00%,13.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Kam Jones,17,0.0,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
