Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Pascal Siakam,514,0.56,0.56,0.0,0.19,0.37,0.0,0.0,0.0,0.28,50.00%,1.4,7,8,0.09
Tony Bradley,213,0.91,0.91,0.0,0.68,0.23,0.0,0.0,0.0,0.91,100.00%,0.23,0,1,0.23
Monté Morris,36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.23,0,1,0.0
Aaron Nesmith,179,0.27,0.27,0.0,0.0,0.27,0.0,0.0,0.0,0.27,100.00%,1.34,1,4,0.0
Jarace Walker,308,0.9,0.9,0.0,0.6,0.3,0.0,0.0,0.0,0.75,83.33%,1.65,5,6,0.0
Cody Martin,32,2.82,2.82,0.0,1.41,0.0,1.41,0.0,0.0,2.82,100.00%,2.82,2,0,0.0
Taelon Peter,63,0.71,0.71,0.0,0.0,0.71,0.0,0.0,0.0,0.0,0.00%,0.71,1,0,0.0
Andrew Nembhard,407,0.12,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.00%,1.07,5,4,0.0
Jeremiah Robinson-Earl,151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.55,3,2,0.0
Bennedict Mathurin,360,0.27,0.27,0.0,0.13,0.13,0.0,0.0,0.0,0.27,100.00%,0.67,4,1,0.0
Ben Sheppard,247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.37,3,4,0.0
Ethan Thompson,157,1.26,0.94,0.31,0.63,0.31,0.0,0.0,0.31,0.31,25.00%,1.89,4,2,0.0
Johnny Furphy,80,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.82,0,3,0.0
Garrison Mathews,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.89,0,1,0.0
Obi Toppin,77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.85,1,2,0.62
Jay Huff,402,5.37,4.78,0.58,2.45,2.33,0.0,0.23,0.35,3.62,67.39%,0.58,2,3,0.12
Mac McClung,16,2.86,2.86,0.0,0.0,2.86,0.0,0.0,0.0,2.86,100.00%,5.71,1,1,0.0
Quenton Jackson,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.27,1,2,0.0
RayJ Dennis,118,0.79,0.79,0.0,0.0,0.79,0.0,0.0,0.0,0.4,50.00%,0.79,1,1,0.0
James Wiseman,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Micah Potter,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Kam Jones,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
