Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,TOs  Sort table by TOs in descending order,Live Ball TOs  Sort table by Live Ball TOs in descending order,Dead Ball TOs  Sort table by Dead Ball TOs in descending order,Live Ball TO%  Sort table by Live Ball TO% in descending order,Lost Ball  Sort table by Lost Ball in descending order,Lost Ball Out of Bounds  Sort table by Lost Ball Out of Bounds in descending order,Bad Pass  Sort table by Bad Pass in descending order,Bad Pass Out of Bounds  Sort table by Bad Pass Out of Bounds in descending order,Travels  Sort table by Travels in descending order,3 Second Violation  Sort table by 3 Second Violation in descending order,Step Out of Bounds  Sort table by Step Out of Bounds in descending order,Offensive Goaltending  Sort table by Offensive Goaltending in descending order
Pascal Siakam,514,2.47,1.43,1.05,57.69%,0.67,0.19,0.76,0.19,0.1,0.0,0.1,0.0
Tony Bradley,213,1.62,0.46,1.16,28.57%,0.23,0.0,0.23,0.23,0.0,0.0,0.0,0.0
Monté Morris,36,1.35,1.35,0.0,100.00%,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Nesmith,179,1.64,0.82,0.82,50.00%,0.55,0.0,0.27,0.0,0.0,0.0,0.0,0.0
Jarace Walker,308,2.47,1.23,1.23,50.00%,0.62,0.31,0.62,0.46,0.31,0.0,0.0,0.0
Cody Martin,32,3.08,0.0,3.08,0.00%,0.0,0.0,0.0,3.08,0.0,0.0,0.0,0.0
Taelon Peter,63,2.36,0.79,1.57,33.33%,0.0,0.0,0.79,1.57,0.0,0.0,0.0,0.0
Andrew Nembhard,407,4.08,2.88,1.2,70.59%,1.44,0.12,1.44,0.0,0.12,0.0,0.0,0.0
Jeremiah Robinson-Earl,151,1.27,0.96,0.32,75.00%,0.64,0.0,0.32,0.32,0.0,0.0,0.0,0.0
Bennedict Mathurin,360,2.58,1.22,1.36,47.37%,0.54,0.14,0.68,0.41,0.27,0.0,0.0,0.0
Ben Sheppard,247,1.95,1.17,0.78,60.00%,0.39,0.39,0.78,0.39,0.0,0.0,0.0,0.0
Ethan Thompson,157,1.31,0.98,0.33,75.00%,0.0,0.0,0.98,0.33,0.0,0.0,0.0,0.0
Johnny Furphy,80,1.86,0.62,1.24,33.33%,0.0,0.0,0.62,1.24,0.0,0.0,0.0,0.0
Garrison Mathews,48,1.89,0.94,0.94,50.00%,0.0,0.0,0.94,0.0,0.0,0.0,0.94,0.0
Obi Toppin,77,3.13,0.63,2.5,20.00%,0.0,0.0,0.63,1.88,0.63,0.0,0.0,0.0
Jay Huff,402,1.8,0.36,1.44,20.00%,0.0,0.36,0.36,0.24,0.12,0.0,0.12,0.0
Mac McClung,16,2.86,2.86,0.0,100.00%,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0
Quenton Jackson,111,3.46,1.3,2.16,37.50%,0.87,0.0,0.43,1.73,0.0,0.0,0.0,0.0
RayJ Dennis,118,2.83,2.43,0.4,85.71%,0.0,0.4,2.43,0.0,0.0,0.0,0.0,0.0
James Wiseman,35,2.82,1.41,1.41,50.00%,1.41,0.0,0.0,1.41,0.0,0.0,0.0,0.0
Micah Potter,5,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kam Jones,5,0.0,0.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
