Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Chris Paul,97,10.71,27.55,4.59,6.12,0.51,4.08,0.0,0.51,5.61
Kris Dunn,252,4.54,11.96,1.65,2.89,0.62,1.03,0.0,1.03,1.86
Derrick Jones Jr.,55,2.78,8.33,0.0,2.78,0.0,0.0,0.0,0.0,2.78
John Collins,259,2.16,5.7,0.79,1.38,0.39,0.2,0.2,0.59,0.79
Brook Lopez,377,2.32,6.28,0.68,1.64,0.27,0.27,0.14,0.55,1.09
Kawhi Leonard,243,5.71,15.22,1.9,3.81,1.27,0.63,0.0,1.48,2.33
Nicolas Batum,309,1.13,2.91,0.49,0.65,0.16,0.16,0.16,0.16,0.49
James Harden,353,9.64,24.32,4.6,5.04,2.88,1.15,0.58,1.44,3.6
Bradley Beal,15,14.29,32.14,10.71,3.57,7.14,3.57,0.0,3.57,0.0
Bogdan Bogdanović,153,6.19,16.49,2.06,4.12,1.37,0.69,0.0,1.72,2.41
Kobe Brown,111,4.11,9.59,2.74,1.37,2.28,0.46,0.0,0.91,0.46
Kobe Sanders,208,3.61,10.34,0.48,3.13,0.0,0.48,0.0,1.44,1.68
Cam Christie,95,3.89,9.44,2.22,1.67,1.11,0.56,0.56,0.0,1.67
Yanic Konan Niederhäuser,67,1.63,4.88,0.0,1.63,0.0,0.0,0.0,0.0,1.63
Jahmyl Telfort,20,2.78,8.33,0.0,2.78,0.0,0.0,0.0,0.0,2.78
Jordan Miller,70,3.73,9.7,1.49,2.24,0.75,0.75,0.0,0.75,1.49
RayJ Dennis,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
