Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,P/M  Sort table by P/M in descending order,Possessions  Sort table by Possessions in descending order,Pts  Sort table by Pts in descending order,FG2M  Sort table by FG2M in descending order,FG2A  Sort table by FG2A in descending order,2pt FG%  Sort table by 2pt FG% in descending order,FG3M  Sort table by FG3M in descending order,FG3A  Sort table by FG3A in descending order,3pt FG%  Sort table by 3pt FG% in descending order,Non-Heave 3pt FG%  Sort table by Non-Heave 3pt FG% in descending order,FT Pts  Sort table by FT Pts in descending order,AST2 Pts  Sort table by AST2 Pts in descending order,UAST2 2s Pts  Sort table by UAST2 2s Pts in descending order,AST3 Pts  Sort table by AST3 Pts in descending order,UAST3 Pts  Sort table by UAST3 Pts in descending order,2pt AST%  Sort table by 2pt AST% in descending order,Non Putback 2pt AST%  Sort table by Non Putback 2pt AST% in descending order,3pt AST%  Sort table by 3pt AST% in descending order,3PAr  Sort table by 3PAr in descending order,Shot Quality  Sort table by Shot Quality in descending order,eFG%  Sort table by eFG% in descending order,TS%  Sort table by TS% in descending order,PUT  Sort table by PUT in descending order,FG2AB  Sort table by FG2AB in descending order,% of FG2AB  Sort table by % of FG2AB in descending order,FG3AB  Sort table by FG3AB in descending order,% of FG3AB  Sort table by % of FG3AB in descending order,Usage  Sort table by Usage in descending order
Chris Paul,97,-23.56,196,8.67,0.51,2.04,25.00%,2.55,7.14,35.71%,35.71%,0.0,0.0,1.02,6.12,1.53,0.00%,0.00%,80.00%,77.78%,0.5,47.22%,47.22%,0.0,0.51,25.00%,0.0,0.00%,12.39
Kris Dunn,252,-1.95,485,14.43,2.68,5.15,52.00%,2.89,5.77,50.00%,50.00%,0.41,2.47,2.89,8.66,0.0,46.15%,50.00%,100.00%,52.83%,0.54,64.15%,64.81%,0.41,0.82,16.00%,0.0,0.00%,12.55
Derrick Jones Jr.,55,2.09,108,23.15,5.56,10.19,54.55%,1.85,3.7,50.00%,50.00%,6.48,5.56,5.56,5.56,0.0,50.00%,50.00%,100.00%,26.67%,0.53,60.00%,73.53%,0.0,1.85,18.18%,0.0,0.00%,14.63
John Collins,259,-9.06,509,27.5,7.86,13.16,59.70%,2.75,4.91,56.00%,56.00%,3.54,11.0,4.72,8.25,0.0,70.00%,84.85%,100.00%,27.17%,0.55,66.30%,69.31%,2.75,1.18,8.96%,0.0,0.00%,21.44
Brook Lopez,377,-2.39,733,20.19,2.32,5.32,43.59%,4.5,11.87,37.93%,37.93%,2.05,3.0,1.64,13.51,0.0,64.71%,68.75%,100.00%,69.05%,0.51,52.78%,54.81%,0.27,0.14,2.56%,0.0,0.00%,19.08
Kawhi Leonard,243,9.83,473,48.63,11.42,18.82,60.67%,4.65,11.42,40.74%,40.74%,11.84,7.19,15.64,9.51,4.44,31.48%,34.00%,68.18%,37.76%,0.52,60.84%,67.66%,1.69,1.48,7.87%,0.0,0.00%,34.54
Nicolas Batum,309,1.14,618,10.03,0.16,0.49,33.33%,2.91,6.8,42.86%,42.86%,0.97,0.32,0.0,8.74,0.0,100.00%,100.00%,100.00%,93.33%,0.55,62.22%,64.58%,0.0,0.0,0.00%,0.0,0.00%,8.49
James Harden,353,7.98,695,40.29,6.47,12.52,51.72%,4.46,14.1,31.63%,31.63%,13.96,0.86,12.09,4.75,8.63,6.67%,6.67%,35.48%,52.97%,0.51,49.46%,60.48%,0.0,1.73,13.79%,0.14,1.02%,33.38
Bradley Beal,15,7.64,28,14.29,3.57,7.14,50.00%,0.0,3.57,0.00%,0.00%,7.14,0.0,7.14,0.0,0.0,0.00%,0.00%,0.00%,33.33%,0.45,33.33%,50.00%,0.0,0.0,0.00%,0.0,0.00%,16.13
Bogdan Bogdanović,153,-12.12,291,12.37,1.37,5.15,26.67%,2.75,11.34,24.24%,24.24%,1.37,0.69,2.06,7.22,1.03,25.00%,25.00%,87.50%,68.75%,0.51,33.33%,36.00%,0.0,0.34,6.67%,0.0,0.00%,16.92
Kobe Brown,111,-18.99,219,16.89,3.2,4.57,70.00%,1.83,6.85,26.67%,26.67%,5.02,2.74,3.65,5.48,0.0,42.86%,42.86%,100.00%,60.00%,0.56,52.00%,59.68%,0.0,0.91,20.00%,0.0,0.00%,15.38
Kobe Sanders,208,-10.17,416,17.55,3.13,6.01,52.00%,2.88,4.81,60.00%,60.00%,2.64,4.33,1.92,8.65,0.0,69.23%,75.00%,100.00%,44.44%,0.53,68.89%,71.57%,0.48,0.72,12.00%,0.0,0.00%,14.44
Cam Christie,95,3.85,180,20.56,3.33,6.67,50.00%,2.78,7.78,35.71%,35.71%,5.56,3.33,3.33,8.33,0.0,50.00%,60.00%,100.00%,53.85%,0.54,51.92%,56.06%,1.11,0.0,0.00%,0.0,0.00%,18.04
Yanic Konan Niederhäuser,67,6.15,123,14.63,5.69,9.76,58.33%,0.0,0.0,0.00%,0.00%,3.25,9.76,1.63,0.0,0.0,85.71%,100.00%,0.00%,0.00%,0.53,58.33%,56.25%,1.63,0.81,8.33%,0.0,0.00%,13.67
Jahmyl Telfort,20,-9.3,36,2.78,0.0,0.0,0.00%,0.0,8.33,0.00%,0.00%,2.78,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,100.00%,0.53,0.00%,10.00%,0.0,0.0,0.00%,0.0,0.00%,15.79
Jordan Miller,70,-12.48,134,17.91,2.24,5.97,37.50%,2.99,5.22,57.14%,57.14%,4.48,2.99,1.49,8.96,0.0,66.67%,100.00%,100.00%,46.67%,0.55,60.00%,63.16%,1.49,2.24,37.50%,0.0,0.00%,16.33
RayJ Dennis,3,-69.05,6,0.0,0.0,0.0,0.00%,0.0,0.0,0.00%,0.00%,0.0,0.0,0.0,0.0,0.0,0.00%,0.00%,0.00%,0.00%,0.0,0.00%,0.00%,0.0,0.0,0.00%,0.0,0.00%,16.67
