Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Reb  Sort table by Reb in descending order,DReb  Sort table by DReb in descending order,FT DReb  Sort table by FT DReb in descending order,FT DReb%  Sort table by FT DReb% in descending order,2Pt DReb  Sort table by 2Pt DReb in descending order,2Pt DReb%  Sort table by 2Pt DReb% in descending order,3Pt DReb  Sort table by 3Pt DReb in descending order,3Pt DReb%  Sort table by 3Pt DReb% in descending order,FG DReb%  Sort table by FG DReb% in descending order,OReb  Sort table by OReb in descending order,FT OReb  Sort table by FT OReb in descending order,FT OReb%  Sort table by FT OReb% in descending order,2Pt OReb  Sort table by 2Pt OReb in descending order,2Pt OReb%  Sort table by 2Pt OReb% in descending order,3Pt OReb  Sort table by 3Pt OReb in descending order,3Pt OReb%  Sort table by 3Pt OReb% in descending order,FG OReb%  Sort table by FG OReb% in descending order,Rim DReb%  Sort table by Rim DReb% in descending order,SMR DReb%  Sort table by SMR DReb% in descending order,LMR DReb%  Sort table by LMR DReb% in descending order,AB3 DReb%  Sort table by AB3 DReb% in descending order,C3 DReb%  Sort table by C3 DReb% in descending order,Rim OReb%  Sort table by Rim OReb% in descending order,SMR OReb%  Sort table by SMR OReb% in descending order,LMR OReb%  Sort table by LMR OReb% in descending order,AB3 OReb%  Sort table by AB3 OReb% in descending order,C3 OReb%  Sort table by C3 OReb% in descending order,Z-Bounds  Sort table by Z-Bounds in descending order,Z-Bound Pct  Sort table by Z-Bound Pct in descending order
Kris Dunn,815,2.65,3.92,0.06,4.00%,1.96,8.38%,1.9,8.07%,8.22%,1.36,0.0,0.00%,0.74,3.60%,0.62,2.69%,3.12%,8.26%,6.74%,13.24%,7.80%,8.82%,3.26%,3.80%,3.51%,2.87%,2.15%,3,3.75%
Ivica Zubac,803,8.21,11.33,0.68,28.95%,4.99,20.98%,5.67,24.60%,22.76%,5.1,0.0,0.00%,3.75,16.27%,1.35,6.23%,11.40%,16.67%,22.77%,22.37%,25.95%,20.00%,24.00%,13.84%,11.76%,4.78%,9.80%,13,15.48%
Derrick Jones Jr.,362,2.73,3.69,0.0,0.00%,1.37,5.59%,2.33,10.49%,7.92%,1.77,0.0,0.00%,0.82,3.68%,0.95,4.09%,3.89%,6.12%,2.83%,16.67%,9.16%,16.13%,2.04%,4.26%,5.00%,4.44%,2.78%,3,7.32%
John Collins,752,4.44,6.42,0.33,17.24%,2.98,12.75%,3.11,12.53%,12.64%,2.46,0.13,10.00%,1.0,4.62%,1.33,5.90%,5.27%,16.19%,9.34%,16.67%,14.34%,7.29%,9.57%,2.16%,4.35%,6.95%,2.50%,4,4.21%
James Harden,1026,3.42,6.11,0.49,19.61%,3.15,13.32%,2.47,10.97%,12.17%,0.73,0.0,0.00%,0.24,1.17%,0.49,2.07%,1.65%,11.51%,13.85%,14.61%,9.92%,14.29%,0.00%,1.61%,1.67%,1.91%,2.54%,7,2.85%
Bradley Beal,99,1.24,1.49,0.0,0.00%,0.5,2.44%,0.99,4.26%,3.41%,1.0,0.0,0.00%,0.5,2.17%,0.5,2.33%,2.25%,0.00%,4.17%,0.00%,5.26%,0.00%,0.00%,3.45%,0.00%,3.03%,0.00%,1,3.70%
Bogdan Bogdanović,280,2.66,4.9,0.18,5.88%,1.45,5.80%,3.27,13.04%,9.42%,0.37,0.0,0.00%,0.37,2.06%,0.0,0.00%,0.85%,9.30%,5.88%,0.00%,13.46%,11.76%,0.00%,3.57%,0.00%,0.00%,0.00%,0,0.00%
Cam Christie,94,4.49,7.14,0.0,0.00%,4.08,18.18%,3.06,11.11%,14.29%,1.64,0.0,0.00%,0.55,3.45%,1.09,5.26%,4.48%,22.22%,16.13%,25.00%,9.76%,15.38%,0.00%,6.67%,0.00%,6.90%,0.00%,0,0.00%
Nicolas Batum,582,2.99,4.86,0.26,10.00%,2.22,8.84%,2.39,10.61%,9.68%,1.11,0.0,0.00%,0.51,2.54%,0.6,2.32%,2.42%,6.45%,9.66%,10.71%,9.36%,14.75%,4.35%,0.75%,5.88%,2.53%,1.54%,2,3.03%
Kawhi Leonard,683,4.94,8.41,0.88,37.50%,3.87,16.83%,3.65,15.48%,16.14%,1.47,0.0,0.00%,0.95,4.56%,0.51,2.18%,3.30%,15.38%,18.86%,12.24%,15.56%,15.31%,8.82%,4.12%,0.00%,2.92%,0.00%,9,4.62%
Kobe Brown,135,4.28,6.88,1.09,37.50%,3.26,14.29%,2.54,10.77%,12.50%,1.53,0.0,0.00%,0.38,1.92%,1.15,4.55%,3.39%,14.29%,16.67%,7.69%,12.00%,6.67%,0.00%,3.45%,0.00%,5.66%,0.00%,0,0.00%
Jordan Miller,135,5.63,6.62,0.0,0.00%,3.31,13.64%,3.31,14.29%,13.95%,4.6,1.15,37.50%,1.53,6.67%,1.92,8.62%,7.63%,14.29%,8.33%,21.43%,16.00%,7.69%,17.65%,2.86%,0.00%,12.82%,0.00%,2,15.38%
Kobe Sanders,421,2.84,4.39,0.0,0.00%,2.19,8.84%,2.19,9.05%,8.94%,1.28,0.0,0.00%,0.12,0.56%,1.17,4.90%,2.86%,8.22%,12.87%,0.00%,7.64%,13.21%,0.00%,1.00%,0.00%,4.38%,6.82%,0,0.00%
Brook Lopez,343,3.53,6.38,0.45,18.75%,3.71,15.15%,2.23,8.52%,11.73%,0.61,0.0,0.00%,0.15,0.88%,0.46,1.69%,1.37%,9.84%,18.52%,17.39%,9.60%,5.88%,2.63%,0.00%,0.00%,0.69%,6.06%,0,0.00%
Yanic Konan Niederhäuser,83,7.19,7.65,0.59,20.00%,3.53,14.63%,3.53,16.22%,15.38%,6.71,0.61,25.00%,2.44,11.43%,3.66,15.79%,13.70%,12.50%,14.81%,16.67%,16.67%,15.38%,0.00%,21.05%,0.00%,14.29%,33.33%,0,0.00%
RayJ Dennis,3,13.33,25.0,0.0,0.00%,12.5,33.33%,12.5,50.00%,40.00%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,0.00%,50.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
Jahmyl Telfort,17,3.03,5.71,0.0,0.00%,2.86,14.29%,2.86,9.09%,11.11%,0.0,0.0,0.00%,0.0,0.00%,0.0,0.00%,0.00%,0.00%,25.00%,0.00%,12.50%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0,0.00%
