Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Blocks  Sort table by Blocks in descending order,2pt Blocks  Sort table by 2pt Blocks in descending order,3pt Blocks  Sort table by 3pt Blocks in descending order,Rim Blocks  Sort table by Rim Blocks in descending order,SMR Blocks  Sort table by SMR Blocks in descending order,LMR Blocks  Sort table by LMR Blocks in descending order,C3 Blocks  Sort table by C3 Blocks in descending order,AB3 Blocks  Sort table by AB3 Blocks in descending order,BLK REC  Sort table by BLK REC in descending order,BLK REC%  Sort table by BLK REC% in descending order,Steals  Sort table by Steals in descending order,Lost Ball Steals  Sort table by Lost Ball Steals in descending order,Bad Pass Steals  Sort table by Bad Pass Steals in descending order,Goaltending Violations  Sort table by Goaltending Violations in descending order
Chris Paul,97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,2.99,4,2,0.0
Kris Dunn,252,0.2,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.00%,3.56,9,9,0.0
Derrick Jones Jr.,55,2.75,2.75,0.0,2.75,0.0,0.0,0.0,0.0,0.92,33.33%,1.83,1,1,0.0
John Collins,259,2.48,2.48,0.0,1.34,1.15,0.0,0.0,0.0,1.15,46.15%,1.34,4,3,0.0
Brook Lopez,377,3.2,3.2,0.0,2.27,0.93,0.0,0.0,0.0,2.13,66.67%,0.93,5,2,0.0
Kawhi Leonard,243,1.28,1.28,0.0,0.64,0.43,0.21,0.0,0.0,0.64,50.00%,3.42,7,9,0.0
Nicolas Batum,309,0.96,0.96,0.0,0.48,0.48,0.0,0.0,0.0,0.48,50.00%,2.09,2,11,0.16
James Harden,353,0.57,0.43,0.14,0.14,0.28,0.0,0.14,0.0,0.28,50.00%,1.85,9,4,0.0
Bradley Beal,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,3.45,0,1,0.0
Bogdan Bogdanović,153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.29,1,3,0.0
Kobe Brown,111,0.86,0.86,0.0,0.43,0.43,0.0,0.0,0.0,0.86,100.00%,1.72,3,1,0.0
Kobe Sanders,208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,1.64,3,4,0.0
Cam Christie,95,1.03,1.03,0.0,1.03,0.0,0.0,0.0,0.0,1.03,100.00%,1.03,0,2,0.0
Yanic Konan Niederhäuser,67,2.99,2.99,0.0,1.49,1.49,0.0,0.0,0.0,2.24,75.00%,0.75,0,1,0.0
Jahmyl Telfort,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
Jordan Miller,70,0.69,0.69,0.0,0.0,0.69,0.0,0.0,0.0,0.69,100.00%,1.38,1,1,0.0
RayJ Dennis,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00%,0.0,0,0,0.0
