Name  Sort table by Name in descending order,Minutes  Sort table by Minutes in descending order,Assists  Sort table by Assists in descending order,Assist Pts  Sort table by Assist Pts in descending order,2pt  Sort table by 2pt in descending order,3pt  Sort table by 3pt in descending order,At Rim  Sort table by At Rim in descending order,SMR  Sort table by SMR in descending order,LMR  Sort table by LMR in descending order,C3  Sort table by C3 in descending order,AB3  Sort table by AB3 in descending order
Maxi Kleber,53,1.9,5.71,0.0,1.9,0.0,0.0,0.0,0.0,1.9
Jarred Vanderbilt,179,4.1,9.29,3.01,1.09,1.37,0.82,0.82,0.55,0.55
Luka Dončić,273,13.76,31.36,9.93,3.83,7.32,1.57,1.05,1.22,2.61
Rui Hachimura,220,0.87,2.17,0.43,0.43,0.0,0.22,0.22,0.22,0.22
Jake LaRavia,311,3.85,8.92,2.62,1.23,0.77,1.23,0.62,0.31,0.92
Dalton Knecht,135,1.41,3.53,0.71,0.71,0.0,0.71,0.0,0.0,0.71
Marcus Smart,207,5.39,11.94,4.22,1.17,2.58,0.47,1.17,0.47,0.7
Nick Smith Jr.,104,5.09,11.11,4.17,0.93,2.78,0.0,1.39,0.93,0.0
Jaxson Hayes,139,3.77,8.9,2.4,1.37,1.37,0.68,0.34,0.34,1.03
Bronny James,60,12.71,29.66,8.47,4.24,5.93,2.54,0.0,1.69,2.54
Adou Thiero,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabe Vincent,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Timme,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Deandre Ayton,179,1.34,3.49,0.54,0.81,0.27,0.0,0.27,0.27,0.54
Christian Koloko,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Mañon,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
